uid,通道,格数,row,col,压力,距路m
1,P1 产业拆除重建,12,26.666666666666668,27.25,2.4187168248917166,50.2820930480957
2,P1 产业拆除重建,20,35.55,26.8,2.0774406066572,34.21780776977539
3,P1 产业拆除重建,17,31.352941176470587,23.941176470588236,1.9052551395851978,101.80139923095703
4,P1 产业拆除重建,10,31.8,27.3,2.1931534773107932,42.95402145385742
5,P1 产业拆除重建,11,29.454545454545453,29.0,1.7821055116601086,91.69194793701172
6,P1 产业拆除重建,9,26.11111111111111,24.555555555555557,1.9253746577214328,148.9073028564453
7,P1 产业拆除重建,12,22.75,25.75,2.0169659365349957,130.2783660888672
8,P1 产业拆除重建,10,20.7,31.2,2.0518858427599094,29.850223541259766
9,P1 产业拆除重建,6,23.0,28.666666666666668,2.3610505374473747,29.528852462768555
10,P1 产业拆除重建,10,25.5,30.2,1.7203344772145623,49.308074951171875
11,P1 产业拆除重建,14,30.857142857142858,40.57142857142857,2.0032310172548646,30.478191375732422
12,P1 产业拆除重建,11,32.90909090909091,42.81818181818182,2.5042869672969683,29.742534637451172
13,P1 产业拆除重建,9,32.333333333333336,46.0,2.4517224277562932,32.790565490722656
14,P1 产业拆除重建,17,36.23529411764706,42.94117647058823,2.103172883442666,26.99136734008789
15,P1 产业拆除重建,13,29.53846153846154,44.69230769230769,2.3411112781797696,38.86082077026367
16,P1 产业拆除重建,11,26.09090909090909,35.63636363636363,1.4504282726222133,52.941287994384766
17,P1 产业拆除重建,11,25.727272727272727,43.18181818181818,1.69848438260957,50.77920150756836
18,P1 产业拆除重建,12,26.0,39.5,1.7821713499600398,32.51455307006836
19,P1 产业拆除重建,28,28.107142857142858,115.78571428571429,1.6361264878614568,56.52048873901367
20,P1 产业拆除重建,10,28.5,49.5,2.239118585212715,34.11063003540039
21,P1 产业拆除重建,2,34.0,31.5,1.5935284017209144,26.84378433227539
22,P1 产业拆除重建,13,39.38461538461539,109.23076923076923,1.9938362506149827,33.11267852783203
23,P1 产业拆除重建,20,46.85,99.9,2.3925249034853433,32.387996673583984
24,P1 产业拆除重建,20,48.65,104.95,1.9299114222149913,53.04475021362305
