year,n_cand,q_wait,q_best_act,unit_best,q_frozen_pick,unit_frozen,delta_wait,delta_wait_vs_frozen,gap_frozen_pick
0,18,489.92241622733553,573.4377698781416,0,573.4377698781416,0,-83.51535365080605,-83.51535365080605,0.0
1,17,421.6586488470872,489.92241622733553,1,489.92241622733553,1,-68.26376738024834,-68.26376738024834,0.0
2,16,370.106600053184,445.4792067230365,6,421.6586488470872,2,-75.37260666985247,-51.55204879390317,23.820557875949305
3,15,334.1371866096139,411.02695741577145,6,370.106600053184,3,-76.88977080615757,-35.96941344357015,40.920357362587424
4,14,261.6676729930155,334.1371866096139,6,334.1371866096139,6,-72.46951361659836,-72.46951361659836,0.0
5,13,198.56120473926006,261.6676729930155,7,261.6676729930155,7,-63.10646825375545,-63.10646825375545,0.0
6,12,147.78921850921537,209.44944046332336,12,198.56120473926006,8,-61.66022195410798,-50.77198623004469,10.888235724063293
7,11,110.0488461737357,172.7514224162484,12,147.78921850921537,9,-62.702576242512706,-37.74037233547968,24.96220390703303
8,10,51.137705070135716,110.0488461737357,12,110.0488461737357,12,-58.91114110359998,-58.91114110359998,0.0
9,9,0.0,51.137705070135716,13,51.137705070135716,13,-51.137705070135716,-51.137705070135716,0.0
