year,n_cand,q_wait,q_best_act,unit_best,q_frozen_pick,unit_frozen,delta_wait,delta_wait_vs_frozen,gap_frozen_pick
0,18,422.24930975911343,501.41516082706516,0,501.41516082706516,0,-79.16585106795173,-79.16585106795173,0.0
1,17,363.9145943431798,422.24930975911343,1,422.24930975911343,1,-58.33471541593366,-58.33471541593366,0.0
2,16,326.3095987909632,397.75677937978963,6,363.91459434317983,2,-71.44718058882643,-37.60499555221662,33.842185036609806
3,15,305.10191402400926,381.6567036204342,6,326.30959879096315,3,-76.55478959642494,-21.20768476695389,55.34710482947105
4,14,233.34084521547948,305.10191402400926,6,305.10191402400926,6,-71.76106880852979,-71.76106880852979,0.0
5,13,174.49244117905485,233.34084521547945,7,233.34084521547945,7,-58.8484040364246,-58.8484040364246,0.0
6,12,132.27326645081587,190.89855881978394,12,174.49244117905488,8,-58.625292368968076,-42.21917472823901,16.406117640729065
7,11,105.77520824019953,168.25642287295693,12,132.27326645081587,9,-62.4812146327574,-26.498058210616335,35.983156422141064
8,10,47.518872399141685,105.77520824019953,12,105.77520824019953,12,-58.25633584105785,-58.25633584105785,0.0
9,9,0.0,47.518872399141685,13,47.518872399141685,13,-47.518872399141685,-47.518872399141685,0.0
