seed,iters,oracle_ratio,value,where_wrong,when_error,stop_rate,actual_reward,n_init,rank_corr_bc
0,0,0.8634282873607922,5937.145354242966,260.33013121649856,678.770568964821,0.0,54373122.286730394,75,1.0
0,2,0.7909254836935807,5438.598236591604,332.5696588604851,1105.0781589721964,0.0,45404886.38676977,75,0.393307836520435
0,10,0.7612534928627239,5234.566326714012,645.1072229559322,996.5725047543419,0.0,47788904.937882476,75,0.2512875890513686
0,50,0.7629314798234447,5246.104577932043,559.9119535911877,1070.2295229010551,0.0,48036661.688235,75,0.12034795650543684
0,150,0.7516789063674234,5168.729114102957,637.3432330682917,1070.1737072530368,0.05333333333333334,47802972.51775198,71,0.17153955755530562
0,400,0.5877209955897366,4041.314177026239,1965.1176448061606,869.8142325918861,0.41333333333333333,43167644.845710464,44,0.22299512560929888
1,0,0.8189428951266277,5631.2528514132755,296.1109824713212,948.8822205396891,0.0,51379454.78112118,75,1.0
1,2,0.7980491343163815,5487.582211079735,352.73276783158144,1035.931075512969,0.0,48159663.27206602,75,0.7205309336332959
1,10,0.7857109458166516,5402.741791089724,510.8739664789264,962.6302968556356,0.0,53799575.89903398,75,0.721466816647919
1,50,0.797557291928965,5484.200181803863,511.5342708202743,880.5116018001481,0.0,49942721.986570366,75,0.7326674165729284
1,150,0.8033158439730291,5523.797402576057,429.9469939677956,922.5016578804334,0.0,52469042.30077204,75,0.7488413948256469
1,400,0.8055918660112193,5539.447890135945,411.6564838216209,925.1416804667197,0.0,51455482.165648736,75,0.7534488188976379
