alpha,seed,method,value,ratio,oracle_value,where_recall,where_jaccard,when_mae,when_hit1,n_init,n_overlap,actual_reward,q_vs_value_rho,n_samples,q_gap
0.25,0,随机,825.1428015326795,0.7719927965353716,1068.8477991450698,0.7777777777777778,0.6363636363636364,2.642857142857143,0.35714285714285715,18,14,,,,
0.25,1,随机,833.7707668689469,0.7800650078859198,1068.8477991450698,0.7222222222222222,0.5652173913043478,3.076923076923077,0.23076923076923078,18,13,,,,
0.25,2,随机,880.1114319984326,0.8234207271628382,1068.8477991450698,0.8333333333333334,0.7142857142857143,3.2,0.3333333333333333,18,15,,,,
0.25,-1,纯空间排序,967.1411682493515,0.9048446083931974,1068.8477991450698,1.0,1.0,2.6666666666666665,0.2222222222222222,18,18,,,,
0.25,-1,时间感知贪心,1003.6460101347159,0.9389980602827585,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,,,,
0.25,-1,oracle,1068.8477991450698,1.0,1068.8477991450698,1.0,1.0,0.0,1.0,18,18,,,,
0.25,0,Double-FQI,1003.6460101347159,0.9389980602827585,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,1003.6460101347159,0.6479686505510663,8640.0,19.274070249668444
0.25,1,Double-FQI,1003.6460101347159,0.9389980602827585,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,1003.6460101347159,0.6430121446320963,8640.0,18.870038238395004
0.25,2,Double-FQI,987.44816654565,0.9238435699970302,1068.8477991450698,1.0,1.0,2.2222222222222223,0.4444444444444444,18,18,987.4481665456498,0.6426063175365464,8640.0,19.02337986097147
0.5,0,随机,661.9336316269315,0.652877381407596,1013.8712880507674,0.7777777777777778,0.6363636363636364,2.642857142857143,0.35714285714285715,18,14,,,,
0.5,1,随机,676.7322248184804,0.6674735075292857,1013.8712880507674,0.7222222222222222,0.5652173913043478,3.1538461538461537,0.23076923076923078,18,13,,,,
0.5,2,随机,695.1708524734374,0.6856598669540668,1013.8712880507674,0.8333333333333334,0.7142857142857143,3.2666666666666666,0.3333333333333333,18,15,,,,
0.5,-1,纯空间排序,781.5258275458125,0.7708333757516165,1013.8712880507674,1.0,1.0,2.6666666666666665,0.2222222222222222,18,18,,,,
0.5,-1,时间感知贪心,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,,,,
0.5,-1,oracle,1013.8712880507674,1.0,1013.8712880507674,1.0,1.0,0.0,1.0,18,18,,,,
0.5,0,Double-FQI,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,892.5996804066407,0.4741669487509905,8640.0,22.756540381042825
0.5,1,Double-FQI,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,892.5996804066407,0.46610274493400067,8640.0,22.609476606329338
0.5,2,Double-FQI,892.5996804066406,0.8803875708155429,1013.8712880507674,0.8888888888888888,0.8,1.25,0.625,18,16,892.5996804066407,0.4687126650608542,8640.0,22.791928151930364
0.75,0,随机,498.7244617211834,0.5199868277094022,959.1097988349401,0.7777777777777778,0.6363636363636364,2.642857142857143,0.35714285714285715,18,14,,,,
0.75,1,随机,519.6936827680136,0.5418500399008552,959.1097988349401,0.7222222222222222,0.5652173913043478,3.1538461538461537,0.23076923076923078,18,13,,,,
0.75,2,随机,510.2302729484424,0.5319831718623192,959.1097988349401,0.8333333333333334,0.7142857142857143,3.2666666666666666,0.3333333333333333,18,15,,,,
0.75,-1,纯空间排序,595.9104868422737,0.6213162325795695,959.1097988349401,1.0,1.0,2.6666666666666665,0.2222222222222222,18,18,,,,
0.75,-1,时间感知贪心,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,,,,
0.75,-1,oracle,959.1097988349401,1.0,959.1097988349401,1.0,1.0,0.0,1.0,18,18,,,,
0.75,0,Double-FQI,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,922.2349400952095,0.22197191924668613,8640.0,30.72224309804469
0.75,1,Double-FQI,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,922.2349400952095,0.2115233081085665,8640.0,30.690039988274286
0.75,2,Double-FQI,922.2349400952096,0.9615530372179248,959.1097988349401,1.0,1.0,0.8888888888888888,0.6666666666666666,18,18,922.2349400952095,0.216986336936803,8640.0,30.78127991508824
1.0,0,随机,335.51529181543543,0.37077434695912226,904.9042755172754,0.7222222222222222,0.5652173913043478,2.5384615384615383,0.3076923076923077,18,13,,,,
1.0,1,随机,362.6551407175468,0.4007663026127711,904.9042755172754,0.8333333333333334,0.7142857142857143,2.8666666666666667,0.3333333333333333,18,15,,,,
1.0,2,随机,325.28969342344726,0.3594741479561472,904.9042755172754,0.8333333333333334,0.7142857142857143,3.0,0.3333333333333333,18,15,,,,
1.0,-1,纯空间排序,410.2951461387347,0.45341276115000717,904.9042755172754,0.8888888888888888,0.8,2.75,0.25,18,16,,,,
1.0,-1,时间感知贪心,851.7642920379618,0.9412755747574107,904.9042755172754,0.8888888888888888,0.8,0.75,0.75,18,16,,,,
1.0,-1,oracle,904.9042755172754,1.0,904.9042755172754,1.0,1.0,0.0,1.0,18,18,,,,
1.0,0,Double-FQI,851.7642920379618,0.9412755747574107,904.9042755172754,0.8888888888888888,0.8,0.75,0.75,18,16,851.7642920379619,-0.03976992886606016,8640.0,36.37301328990062
1.0,1,Double-FQI,851.7642920379618,0.9412755747574107,904.9042755172754,0.8888888888888888,0.8,0.75,0.75,18,16,851.7642920379619,-0.048794879101856856,8640.0,36.38843662564961
1.0,2,Double-FQI,851.7642920379618,0.9412755747574107,904.9042755172754,0.8888888888888888,0.8,0.75,0.75,18,16,851.7642920379619,-0.03962352268104259,8640.0,36.53933382180064
