alpha,method,n,相对oracle,标准差,Where召回,When_MAE,Q与价值秩相关
0.25,随机,3,0.7918261771947099,0.027657762740113306,0.7777777777777778,2.9732600732600734,
0.25,纯空间排序,1,0.9048446083931974,,1.0,2.6666666666666665,
0.25,时间感知贪心,1,0.9389980602827585,,1.0,2.2222222222222223,
0.25,oracle,1,1.0,,1.0,0.0,
0.25,Double-FQI,3,0.9339465635208489,0.008749449045896768,1.0,2.2222222222222223,0.6445290375732363
0.5,随机,3,0.6686702519636495,0.016423975997974002,0.7777777777777778,3.021123321123321,
0.5,纯空间排序,1,0.7708333757516165,,1.0,2.6666666666666665,
0.5,时间感知贪心,1,0.8803875708155429,,0.8888888888888888,1.25,
0.5,oracle,1,1.0,,1.0,0.0,
0.5,Double-FQI,3,0.8803875708155428,0.0,0.8888888888888888,1.25,0.4696607862486151
0.75,随机,3,0.5312733464908589,0.010948876694693473,0.7777777777777778,3.021123321123321,
0.75,纯空间排序,1,0.6213162325795695,,1.0,2.6666666666666665,
0.75,时间感知贪心,1,0.9615530372179248,,1.0,0.8888888888888888,
0.75,oracle,1,1.0,,1.0,0.0,
0.75,Double-FQI,3,0.9615530372179247,0.0,1.0,0.8888888888888888,0.21682718809735188
1.0,随机,3,0.3770049325093468,0.021339532709753434,0.7962962962962963,2.801709401709402,
1.0,纯空间排序,1,0.45341276115000717,,0.8888888888888888,2.75,
1.0,时间感知贪心,1,0.9412755747574107,,0.8888888888888888,0.75,
1.0,oracle,1,1.0,,1.0,0.0,
1.0,Double-FQI,3,0.9412755747574107,0.0,0.8888888888888888,0.75,-0.0427294435496532
