seed,method,value,ratio,oracle_value,actual_reward,where_wrong,when_error,q_vs_value_rho,q_gap,n_samples,n_init
0,Double-FQI,6238.936769695832,0.9073172658912635,6876.246054424286,58720388.149447955,126.6693606261997,510.63992410225455,0.8815195115147717,34.946940696019226,15000.0,75
0,随机,4926.56987497969,0.716462127152919,6876.246054424286,,388.2343005622979,1561.4418788822977,,,,75
0,静态/近视贪心,5325.8071653376965,0.7745224826431258,6876.246054424286,,342.4076720434223,1208.031217043167,,,,75
0,时间感知贪心,6144.307173448044,0.8935554552319573,6876.246054424286,,124.31574724035272,607.6231337358895,,,,75
0,oracle,6876.246054424286,1.0,6876.246054424286,,0.0,0.0,,,,75
1,Double-FQI,6232.5917863797495,0.9063945264683484,6876.246054424286,54679195.4956047,112.58022687798166,531.0740411665547,0.8823221634475767,30.992384441365722,15000.0,75
1,随机,5009.564836772671,0.7285319340120817,6876.246054424286,,653.4936028203247,1213.1876148312904,,,,75
1,静态/近视贪心,5325.8071653376965,0.7745224826431258,6876.246054424286,,342.4076720434223,1208.031217043167,,,,75
1,时间感知贪心,6144.307173448044,0.8935554552319573,6876.246054424286,,124.31574724035272,607.6231337358895,,,,75
1,oracle,6876.246054424286,1.0,6876.246054424286,,0.0,0.0,,,,75
2,Double-FQI,6167.0168699934975,0.8968580852375899,6876.246054424286,52089534.49031038,116.2979243585678,592.9312600722205,0.8823423839324689,32.983210396277634,15000.0,75
2,随机,5687.1288115730395,0.82706883473343,6876.246054424286,,334.1844288156126,854.9328140356338,,,,75
2,静态/近视贪心,5325.8071653376965,0.7745224826431258,6876.246054424286,,342.4076720434223,1208.031217043167,,,,75
2,时间感知贪心,6144.307173448044,0.8935554552319573,6876.246054424286,,124.31574724035272,607.6231337358895,,,,75
2,oracle,6876.246054424286,1.0,6876.246054424286,,0.0,0.0,,,,75
