label,lead,n,迭代数,爬升时间常数,前瞻,势函数整形,A立项年,A最优年,B立项年,C立项年,学会等,B不拖延,回报达标,回报比,三条判据全过
pbrs_ramp,1,3,300.0,3.0,3.0,True,2.0,7.0,0.333,0.667,0.0,0.667,1.0,0.967,False
ramp30,1,3,300.0,3.0,,False,1.0,7.0,0.0,2.0,0.0,1.0,0.0,0.947,False
ramp30_fs1,1,3,300.0,3.0,1.0,False,1.0,7.0,0.0,2.0,0.0,1.0,0.0,0.947,False
ramp30_fs3,1,3,300.0,3.0,3.0,False,0.333,7.0,0.667,2.0,0.0,0.333,0.0,0.93,False
eps32,1,3,500.0,3.0,3.0,False,3.667,7.0,2.0,2.333,0.333,0.333,0.667,0.929,False
ramp15,1,3,300.0,1.5,,False,1.0,7.0,0.0,2.0,0.0,1.0,0.0,0.858,False
amp_big,1,3,300.0,3.0,3.0,False,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.745,False
ent05,1,3,200.0,,,False,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.743,False
ent05_it1000,1,3,1000.0,,,False,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.743,False
iters1000,1,3,1000.0,,,False,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.743,False
lead1,1,5,,,,False,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.743,False
rewardinit,1,3,200.0,,,False,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.743,False
step0,1,3,300.0,0.0,,False,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.743,False
step_fs3,1,3,300.0,0.0,3.0,False,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.742,False
gamma099,1,3,200.0,,,False,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.706,False
ent20,1,3,200.0,,,False,1.0,4.0,1.0,1.0,0.0,0.333,0.0,0.491,False
pbrs_step,1,3,300.0,0.0,0.0,True,1.0,4.0,1.0,1.0,0.0,0.333,0.0,0.491,False
pbrs_lead7,7,3,300.0,0.0,0.0,True,2.0,8.0,0.0,1.0,0.0,1.0,0.0,0.809,False
lead7,7,5,,,,False,1.6,8.0,0.4,1.0,0.0,0.8,0.0,0.806,False
