unit,oracle_year
1,20
10,6
13,19
18,2
26,1
42,15
44,7
45,14
71,22
83,17
85,3
108,4
115,1
121,15
123,12
151,9
154,14
156,10
165,3
184,16
194,4
212,8
220,16
223,8
235,18
238,17
247,13
248,12
249,12
250,23
260,3
275,13
276,5
319,4
322,6
326,11
329,20
368,24
388,18
418,9
420,10
451,15
453,20
454,11
471,11
477,14
499,0
500,19
504,24
513,16
520,18
522,23
523,23
528,7
533,22
534,5
541,0
557,5
571,19
581,0
591,21
598,21
609,6
628,17
629,21
646,7
655,2
658,1
663,13
666,22
677,10
681,8
684,9
695,2
716,24
