seed,policy,unit,year
1,随机,10,0
1,随机,315,0
1,随机,190,0
1,随机,108,1
1,随机,211,1
1,随机,499,1
1,随机,49,2
1,随机,260,2
1,随机,677,2
1,随机,319,3
1,随机,87,3
1,随机,70,3
1,随机,418,4
1,随机,165,4
1,随机,557,4
1,随机,153,5
1,随机,85,5
1,随机,695,5
1,随机,479,6
1,随机,258,6
1,随机,658,6
1,随机,681,7
1,随机,18,7
1,随机,212,7
1,随机,151,8
1,随机,684,8
1,随机,555,8
1,随机,322,9
1,随机,709,9
1,随机,255,9
1,随机,541,10
1,随机,420,10
1,随机,16,10
1,随机,471,11
1,随机,528,11
1,随机,194,11
1,随机,26,12
1,随机,581,12
1,随机,31,12
1,随机,454,13
1,随机,500,13
1,随机,115,13
1,随机,545,14
1,随机,13,14
1,随机,648,14
1,随机,143,15
1,随机,534,15
1,随机,598,15
1,随机,235,16
1,随机,286,16
1,随机,434,16
1,随机,533,17
1,随机,59,17
1,随机,388,17
1,随机,666,18
1,随机,169,18
1,随机,523,18
1,随机,477,19
1,随机,154,19
1,随机,331,19
1,随机,83,20
1,随机,707,20
1,随机,628,20
1,随机,520,21
1,随机,98,21
1,随机,453,21
1,随机,276,22
1,随机,655,22
1,随机,629,22
1,随机,697,23
1,随机,271,23
1,随机,571,23
1,随机,511,24
1,随机,368,24
1,随机,199,24
1,近视贪心,260,0
1,近视贪心,115,0
1,近视贪心,165,0
1,近视贪心,541,1
1,近视贪心,681,1
1,近视贪心,319,1
1,近视贪心,10,2
1,近视贪心,684,2
1,近视贪心,194,2
1,近视贪心,418,3
1,近视贪心,655,3
1,近视贪心,322,3
1,近视贪心,85,4
1,近视贪心,151,4
1,近视贪心,677,4
1,近视贪心,18,5
1,近视贪心,499,5
1,近视贪心,479,5
1,近视贪心,609,6
1,近视贪心,581,6
1,近视贪心,258,6
1,近视贪心,555,7
1,近视贪心,646,7
1,近视贪心,223,7
1,近视贪心,83,8
1,近视贪心,23,8
1,近视贪心,26,8
1,近视贪心,658,9
1,近视贪心,695,9
1,近视贪心,255,9
1,近视贪心,689,10
1,近视贪心,74,10
1,近视贪心,528,10
1,近视贪心,500,11
1,近视贪心,276,11
1,近视贪心,286,11
1,近视贪心,545,12
1,近视贪心,563,12
1,近视贪心,249,12
1,近视贪心,270,13
1,近视贪心,663,13
1,近视贪心,564,13
1,近视贪心,235,14
1,近视贪心,13,14
1,近视贪心,534,14
1,近视贪心,184,15
1,近视贪心,705,15
1,近视贪心,709,15
1,近视贪心,220,16
1,近视贪心,471,16
1,近视贪心,156,16
1,近视贪心,520,17
1,近视贪心,453,17
1,近视贪心,54,17
1,近视贪心,388,18
1,近视贪心,628,18
1,近视贪心,154,18
1,近视贪心,477,19
1,近视贪心,420,19
1,近视贪心,454,19
1,近视贪心,153,20
1,近视贪心,629,20
1,近视贪心,1,20
1,近视贪心,591,21
1,近视贪心,571,21
1,近视贪心,329,21
1,近视贪心,71,22
1,近视贪心,598,22
1,近视贪心,666,22
1,近视贪心,45,23
1,近视贪心,716,23
1,近视贪心,533,23
1,近视贪心,368,24
1,近视贪心,522,24
1,近视贪心,523,24
1,时间感知贪心,260,0
1,时间感知贪心,115,0
1,时间感知贪心,541,0
1,时间感知贪心,165,1
1,时间感知贪心,319,1
1,时间感知贪心,194,1
1,时间感知贪心,655,2
1,时间感知贪心,85,2
1,时间感知贪心,658,2
1,时间感知贪心,684,3
1,时间感知贪心,695,3
1,时间感知贪心,108,3
1,时间感知贪心,418,4
1,时间感知贪心,10,4
1,时间感知贪心,70,4
1,时间感知贪心,18,5
1,时间感知贪心,609,5
1,时间感知贪心,322,5
1,时间感知贪心,677,6
1,时间感知贪心,151,6
1,时间感知贪心,681,6
1,时间感知贪心,223,7
1,时间感知贪心,646,7
1,时间感知贪心,471,7
1,时间感知贪心,212,8
1,时间感知贪心,420,8
1,时间感知贪心,315,8
1,时间感知贪心,528,9
1,时间感知贪心,454,9
1,时间感知贪心,153,9
1,时间感知贪心,429,10
1,时间感知贪心,326,10
1,时间感知贪心,434,10
1,时间感知贪心,249,11
1,时间感知贪心,248,11
1,时间感知贪心,83,11
1,时间感知贪心,125,12
1,时间感知贪心,211,12
1,时间感知贪心,545,12
1,时间感知贪心,663,13
1,时间感知贪心,275,13
1,时间感知贪心,235,13
1,时间感知贪心,156,14
1,时间感知贪心,13,14
1,时间感知贪心,500,14
1,时间感知贪心,154,15
1,时间感知贪心,184,15
1,时间感知贪心,121,15
1,时间感知贪心,238,16
1,时间感知贪心,220,16
1,时间感知贪心,581,16
1,时间感知贪心,388,17
1,时间感知贪心,520,17
1,时间感知贪心,453,17
1,时间感知贪心,1,18
1,时间感知贪心,276,18
1,时间感知贪心,571,18
1,时间感知贪心,628,19
1,时间感知贪心,329,19
1,时间感知贪心,666,19
1,时间感知贪心,591,20
1,时间感知贪心,629,20
1,时间感知贪心,598,20
1,时间感知贪心,533,21
1,时间感知贪心,523,21
1,时间感知贪心,250,21
1,时间感知贪心,71,22
1,时间感知贪心,716,22
1,时间感知贪心,26,22
1,时间感知贪心,522,23
1,时间感知贪心,305,23
1,时间感知贪心,143,23
1,时间感知贪心,368,24
1,时间感知贪心,169,24
1,时间感知贪心,98,24
1,PPO,260,0
1,PPO,115,0
1,PPO,541,0
1,PPO,684,1
1,PPO,194,1
1,PPO,165,1
1,PPO,85,2
1,PPO,151,2
1,PPO,10,2
1,PPO,418,3
1,PPO,655,3
1,PPO,87,3
1,PPO,70,4
1,PPO,658,4
1,PPO,479,4
1,PPO,18,5
1,PPO,609,5
1,PPO,108,5
1,PPO,581,6
1,PPO,258,6
1,PPO,319,6
1,PPO,114,7
1,PPO,646,7
1,PPO,212,7
1,PPO,23,8
1,PPO,276,8
1,PPO,208,8
1,PPO,83,9
1,PPO,26,9
1,PPO,211,9
1,PPO,528,10
1,PPO,74,10
1,PPO,16,10
1,PPO,248,11
1,PPO,153,11
1,PPO,681,11
1,PPO,249,12
1,PPO,31,12
1,PPO,125,12
1,PPO,0,13
1,PPO,677,13
1,PPO,663,13
1,PPO,471,14
1,PPO,454,14
1,PPO,434,14
1,PPO,184,15
1,PPO,121,15
1,PPO,156,15
1,PPO,238,16
1,PPO,13,16
1,PPO,235,16
1,PPO,154,17
1,PPO,54,17
1,PPO,14,17
1,PPO,628,18
1,PPO,500,18
1,PPO,571,18
1,PPO,1,19
1,PPO,98,19
1,PPO,169,19
1,PPO,629,20
1,PPO,250,20
1,PPO,598,20
1,PPO,666,21
1,PPO,143,21
1,PPO,591,21
1,PPO,71,22
1,PPO,59,22
1,PPO,329,22
1,PPO,45,23
1,PPO,286,23
1,PPO,331,23
1,PPO,322,24
1,PPO,271,24
1,PPO,584,24
