unit,oracle_year
10,2
13,13
18,5
19,20
26,12
37,17
49,8
59,24
70,6
83,12
85,5
87,8
108,3
115,0
143,15
151,6
153,11
156,21
165,0
169,14
171,22
173,18
185,17
190,8
194,4
199,7
211,9
254,18
255,14
260,0
276,17
286,13
300,16
315,4
319,1
322,3
324,16
383,23
418,4
420,16
434,5
454,18
471,10
477,23
479,12
499,7
500,22
511,19
515,11
525,21
528,19
533,15
534,11
535,20
541,1
542,14
555,13
557,10
571,20
581,9
594,23
598,24
625,15
632,24
655,3
658,2
666,22
677,7
681,1
684,2
694,10
695,6
707,19
709,9
711,21
