alpha,method,n,相对oracle,标准差,Where召回,When_MAE,Q与价值秩相关
0.0,随机,5,0.8763762017954789,0.028352675113453733,0.7666666666666667,2.622930402930403,
0.0,纯空间排序,1,0.9999999999999996,,1.0,0.1111111111111111,
0.0,时间感知贪心,1,0.9999999999999996,,1.0,0.1111111111111111,
0.0,oracle,1,1.0,,1.0,0.0,
0.0,Double-FQI,5,0.9999999999999997,0.0,1.0,0.11111111111111112,0.6786033371290808
0.25,随机,5,0.7851071977908738,0.026208941057467437,0.7666666666666667,2.9125274725274726,
0.25,纯空间排序,1,0.9048446083931974,,1.0,2.6666666666666665,
0.25,时间感知贪心,1,0.9389980602827585,,1.0,2.2222222222222223,
0.25,oracle,1,1.0,,1.0,0.0,
0.25,Double-FQI,5,0.9329362641684671,0.008300456176986253,1.0,2.2222222222222223,0.6435585187897572
0.5,随机,5,0.6589315999634605,0.028551657232052698,0.7666666666666667,2.9126739926739926,
0.5,纯空间排序,1,0.7708333757516165,,1.0,2.6666666666666665,
0.5,时间感知贪心,1,0.8803875708155429,,0.8888888888888888,1.25,
0.5,oracle,1,1.0,,1.0,0.0,
0.5,Double-FQI,5,0.8803875708155429,0.0,0.888888888888889,1.25,0.468768752207912
0.75,随机,5,0.5181717047793548,0.03653517336483581,0.7666666666666667,2.9126739926739926,
0.75,纯空间排序,1,0.6213162325795695,,1.0,2.6666666666666665,
0.75,时间感知贪心,1,0.9615530372179248,,1.0,0.8888888888888888,
0.75,oracle,1,1.0,,1.0,0.0,
0.75,Double-FQI,5,0.9615530372179248,0.0,1.0,0.888888888888889,0.21637201111434345
1.0,随机,5,0.36014338520742406,0.04885576973695572,0.7777777777777778,2.737069597069597,
1.0,纯空间排序,1,0.45341276115000717,,0.8888888888888888,2.75,
1.0,时间感知贪心,1,0.9412755747574107,,0.8888888888888888,0.75,
1.0,oracle,1,1.0,,1.0,0.0,
1.0,Double-FQI,5,0.9412755747574109,0.0,0.888888888888889,0.75,-0.042806771437805105
