seed,policy,unit,year
0,随机,408,0
0,随机,331,0
0,随机,711,0
0,随机,78,1
0,随机,317,1
0,随机,1,1
0,随机,677,2
0,随机,101,2
0,随机,179,2
0,随机,18,3
0,随机,436,3
0,随机,322,3
0,随机,305,4
0,随机,232,4
0,随机,258,4
0,随机,478,5
0,随机,658,5
0,随机,571,5
0,随机,450,6
0,随机,687,6
0,随机,555,6
0,随机,133,7
0,随机,27,7
0,随机,7,7
0,随机,652,8
0,随机,103,8
0,随机,500,8
0,随机,447,9
0,随机,70,9
0,随机,107,9
0,随机,685,10
0,随机,403,10
0,随机,65,10
0,随机,554,11
0,随机,494,11
0,随机,59,11
0,随机,606,12
0,随机,324,12
0,随机,87,12
0,随机,47,13
0,随机,579,13
0,随机,248,13
0,随机,309,14
0,随机,3,14
0,随机,709,14
0,随机,91,15
0,随机,640,15
0,随机,4,15
0,随机,225,16
0,随机,621,16
0,随机,477,16
0,随机,104,17
0,随机,451,17
0,随机,599,17
0,随机,8,18
0,随机,254,18
0,随机,572,19
0,随机,567,19
0,随机,63,19
0,随机,470,20
0,随机,560,20
0,随机,487,20
0,随机,534,21
0,随机,271,21
0,随机,628,21
0,随机,655,22
0,随机,353,22
0,随机,26,22
0,随机,703,23
0,随机,169,23
0,随机,250,23
0,随机,716,24
0,随机,147,24
0,随机,625,24
0,近视贪心,260,0
0,近视贪心,115,0
0,近视贪心,165,0
0,近视贪心,541,1
0,近视贪心,681,1
0,近视贪心,319,1
0,近视贪心,10,2
0,近视贪心,684,2
0,近视贪心,18,2
0,近视贪心,194,3
0,近视贪心,418,3
0,近视贪心,655,3
0,近视贪心,581,4
0,近视贪心,85,4
0,近视贪心,26,4
0,近视贪心,500,5
0,近视贪心,499,5
0,近视贪心,571,5
0,近视贪心,609,6
0,近视贪心,598,6
0,近视贪心,83,6
0,近视贪心,523,7
0,近视贪心,489,7
0,近视贪心,479,7
0,近视贪心,23,8
0,近视贪心,555,8
0,近视贪心,490,8
0,近视贪心,558,9
0,近视贪心,658,9
0,近视贪心,169,9
0,近视贪心,689,10
0,近视贪心,666,10
0,近视贪心,695,10
0,近视贪心,545,11
0,近视贪心,198,11
0,近视贪心,528,11
0,近视贪心,563,12
0,近视贪心,249,12
0,近视贪心,276,12
0,近视贪心,235,13
0,近视贪心,270,13
0,近视贪心,663,13
0,近视贪心,322,14
0,近视贪心,1,14
0,近视贪心,520,14
0,近视贪心,184,15
0,近视贪心,453,15
0,近视贪心,13,15
0,近视贪心,628,16
0,近视贪心,151,16
0,近视贪心,42,16
0,近视贪心,388,17
0,近视贪心,677,17
0,近视贪心,471,17
0,近视贪心,156,18
0,近视贪心,154,18
0,近视贪心,420,18
0,近视贪心,477,19
0,近视贪心,454,19
0,近视贪心,45,19
0,近视贪心,522,20
0,近视贪心,481,20
0,近视贪心,434,20
0,近视贪心,368,21
0,近视贪心,211,21
0,近视贪心,460,21
0,近视贪心,71,22
0,近视贪心,629,22
0,近视贪心,591,22
0,近视贪心,329,23
0,近视贪心,716,23
0,近视贪心,533,23
0,近视贪心,250,24
0,近视贪心,504,24
0,近视贪心,530,24
0,PPO,681,0
0,PPO,658,0
0,PPO,434,0
0,PPO,625,1
0,PPO,632,1
0,PPO,541,1
0,PPO,506,2
0,PPO,448,2
0,PPO,606,2
0,PPO,499,3
0,PPO,685,3
0,PPO,672,3
0,PPO,504,4
0,PPO,581,4
0,PPO,703,4
0,PPO,613,5
0,PPO,644,5
0,PPO,687,5
0,PPO,653,6
0,PPO,670,6
0,PPO,693,6
0,PPO,652,7
0,PPO,651,7
0,PPO,624,7
0,PPO,701,8
0,PPO,646,8
0,PPO,623,8
0,PPO,616,9
0,PPO,665,9
0,PPO,584,9
0,PPO,639,10
0,PPO,627,10
0,PPO,447,10
0,PPO,715,11
0,PPO,615,11
0,PPO,589,11
0,PPO,487,12
0,PPO,459,12
0,PPO,464,12
0,PPO,656,13
0,PPO,475,13
0,PPO,645,13
0,PPO,454,14
0,PPO,711,14
0,PPO,620,14
0,PPO,497,15
0,PPO,498,15
0,PPO,527,15
0,PPO,638,16
0,PPO,686,16
0,PPO,705,16
0,PPO,640,17
0,PPO,633,17
0,PPO,677,17
0,PPO,585,18
0,PPO,666,18
0,PPO,501,18
0,PPO,598,19
0,PPO,528,19
0,PPO,571,19
0,PPO,628,20
0,PPO,655,20
0,PPO,500,20
0,PPO,668,21
0,PPO,709,21
0,PPO,684,21
0,PPO,626,22
0,PPO,661,22
0,PPO,560,22
0,PPO,629,23
0,PPO,490,23
0,PPO,470,23
0,PPO,436,24
0,PPO,479,24
0,PPO,707,24
