seed,policy,unit,year
0,随机,520,0
0,随机,133,0
0,随机,260,0
0,随机,684,1
0,随机,26,1
0,随机,169,1
0,随机,364,2
0,随机,152,2
0,随机,358,2
0,随机,490,3
0,随机,250,3
0,随机,557,3
0,随机,500,4
0,随机,703,4
0,随机,340,4
0,随机,420,5
0,随机,37,5
0,随机,217,5
0,随机,711,6
0,随机,676,6
0,随机,443,6
0,随机,453,7
0,随机,450,7
0,随机,522,7
0,随机,407,8
0,随机,470,8
0,随机,265,8
0,随机,389,9
0,随机,336,9
0,随机,271,9
0,随机,581,10
0,随机,284,10
0,随机,590,10
0,随机,19,11
0,随机,108,11
0,随机,411,11
0,随机,232,12
0,随机,598,12
0,随机,194,12
0,随机,595,13
0,随机,511,13
0,随机,506,13
0,随机,154,14
0,随机,552,14
0,随机,560,14
0,随机,173,15
0,随机,477,15
0,随机,27,15
0,随机,539,16
0,随机,140,16
0,随机,42,16
0,随机,417,17
0,随机,716,17
0,随机,412,17
0,随机,434,18
0,随机,535,18
0,随机,185,18
0,随机,25,19
0,随机,459,19
0,随机,523,19
0,随机,78,20
0,随机,206,20
0,随机,628,20
0,随机,355,21
0,随机,408,21
0,随机,190,21
0,随机,147,22
0,随机,17,22
0,随机,530,22
0,随机,99,23
0,随机,599,23
0,随机,276,23
0,随机,591,24
0,随机,62,24
0,随机,588,24
0,近视贪心,260,0
0,近视贪心,115,0
0,近视贪心,165,0
0,近视贪心,541,1
0,近视贪心,681,1
0,近视贪心,319,1
0,近视贪心,10,2
0,近视贪心,684,2
0,近视贪心,18,2
0,近视贪心,194,3
0,近视贪心,418,3
0,近视贪心,655,3
0,近视贪心,581,4
0,近视贪心,85,4
0,近视贪心,26,4
0,近视贪心,500,5
0,近视贪心,499,5
0,近视贪心,571,5
0,近视贪心,609,6
0,近视贪心,598,6
0,近视贪心,83,6
0,近视贪心,523,7
0,近视贪心,489,7
0,近视贪心,479,7
0,近视贪心,23,8
0,近视贪心,555,8
0,近视贪心,490,8
0,近视贪心,558,9
0,近视贪心,658,9
0,近视贪心,169,9
0,近视贪心,689,10
0,近视贪心,666,10
0,近视贪心,695,10
0,近视贪心,545,11
0,近视贪心,198,11
0,近视贪心,528,11
0,近视贪心,563,12
0,近视贪心,249,12
0,近视贪心,276,12
0,近视贪心,235,13
0,近视贪心,270,13
0,近视贪心,663,13
0,近视贪心,322,14
0,近视贪心,1,14
0,近视贪心,520,14
0,近视贪心,184,15
0,近视贪心,453,15
0,近视贪心,13,15
0,近视贪心,628,16
0,近视贪心,151,16
0,近视贪心,42,16
0,近视贪心,388,17
0,近视贪心,677,17
0,近视贪心,471,17
0,近视贪心,156,18
0,近视贪心,154,18
0,近视贪心,420,18
0,近视贪心,477,19
0,近视贪心,454,19
0,近视贪心,45,19
0,近视贪心,522,20
0,近视贪心,481,20
0,近视贪心,434,20
0,近视贪心,368,21
0,近视贪心,211,21
0,近视贪心,460,21
0,近视贪心,71,22
0,近视贪心,629,22
0,近视贪心,591,22
0,近视贪心,329,23
0,近视贪心,716,23
0,近视贪心,533,23
0,近视贪心,250,24
0,近视贪心,504,24
0,近视贪心,530,24
0,PPO,396,0
0,PPO,315,0
0,PPO,10,0
0,PPO,241,1
0,PPO,681,1
0,PPO,260,1
0,PPO,28,2
0,PPO,499,2
0,PPO,541,2
0,PPO,217,3
0,PPO,658,3
0,PPO,211,3
0,PPO,300,4
0,PPO,255,4
0,PPO,271,4
0,PPO,258,5
0,PPO,294,5
0,PPO,115,5
0,PPO,273,6
0,PPO,286,6
0,PPO,87,6
0,PPO,319,7
0,PPO,165,7
0,PPO,625,7
0,PPO,276,8
0,PPO,257,8
0,PPO,632,8
0,PPO,283,9
0,PPO,250,9
0,PPO,281,9
0,PPO,407,10
0,PPO,322,10
0,PPO,37,10
0,PPO,331,11
0,PPO,225,11
0,PPO,264,11
0,PPO,248,12
0,PPO,320,12
0,PPO,254,12
0,PPO,324,13
0,PPO,185,13
0,PPO,274,13
0,PPO,247,14
0,PPO,412,14
0,PPO,190,14
0,PPO,206,15
0,PPO,434,15
0,PPO,176,15
0,PPO,154,16
0,PPO,19,16
0,PPO,418,16
0,PPO,156,17
0,PPO,153,17
0,PPO,238,17
0,PPO,395,18
0,PPO,70,18
0,PPO,383,18
0,PPO,235,19
0,PPO,173,19
0,PPO,194,19
0,PPO,279,20
0,PPO,26,20
0,PPO,179,20
0,PPO,329,21
0,PPO,305,21
0,PPO,151,21
0,PPO,83,22
0,PPO,13,22
0,PPO,353,22
0,PPO,18,23
0,PPO,177,23
0,PPO,85,23
0,PPO,318,24
0,PPO,169,24
0,PPO,284,24
