seed,policy,unit,year
0,随机,260,0
0,随机,70,0
0,随机,541,0
0,随机,49,1
0,随机,190,1
0,随机,115,1
0,随机,315,2
0,随机,322,2
0,随机,677,2
0,随机,85,3
0,随机,87,3
0,随机,434,3
0,随机,211,4
0,随机,499,4
0,随机,153,4
0,随机,557,5
0,随机,609,5
0,随机,681,5
0,随机,709,6
0,随机,479,6
0,随机,255,6
0,随机,695,7
0,随机,555,7
0,随机,319,7
0,随机,212,8
0,随机,581,8
0,随机,165,8
0,随机,658,9
0,随机,655,9
0,随机,454,9
0,随机,10,10
0,随机,587,10
0,随机,471,10
0,随机,18,11
0,随机,528,11
0,随机,500,11
0,随机,563,12
0,随机,194,12
0,随机,125,12
0,随机,151,13
0,随机,270,13
0,随机,26,13
0,随机,249,14
0,随机,156,14
0,随机,418,14
0,随机,59,15
0,随机,235,15
0,随机,503,15
0,随机,420,16
0,随机,702,16
0,随机,121,16
0,随机,286,17
0,随机,388,17
0,随机,598,17
0,随机,154,18
0,随机,453,18
0,随机,329,18
0,随机,1,19
0,随机,169,19
0,随机,13,19
0,随机,250,20
0,随机,83,20
0,随机,477,20
0,随机,276,21
0,随机,331,21
0,随机,143,21
0,随机,684,22
0,随机,628,22
0,随机,98,22
0,随机,45,23
0,随机,199,23
0,随机,108,23
0,随机,666,24
0,随机,305,24
0,随机,173,24
0,近视贪心,260,0
0,近视贪心,115,0
0,近视贪心,165,0
0,近视贪心,541,1
0,近视贪心,681,1
0,近视贪心,319,1
0,近视贪心,10,2
0,近视贪心,684,2
0,近视贪心,194,2
0,近视贪心,418,3
0,近视贪心,655,3
0,近视贪心,322,3
0,近视贪心,85,4
0,近视贪心,151,4
0,近视贪心,677,4
0,近视贪心,18,5
0,近视贪心,499,5
0,近视贪心,479,5
0,近视贪心,609,6
0,近视贪心,581,6
0,近视贪心,258,6
0,近视贪心,555,7
0,近视贪心,646,7
0,近视贪心,223,7
0,近视贪心,83,8
0,近视贪心,23,8
0,近视贪心,26,8
0,近视贪心,658,9
0,近视贪心,695,9
0,近视贪心,255,9
0,近视贪心,689,10
0,近视贪心,74,10
0,近视贪心,528,10
0,近视贪心,500,11
0,近视贪心,276,11
0,近视贪心,286,11
0,近视贪心,545,12
0,近视贪心,563,12
0,近视贪心,249,12
0,近视贪心,270,13
0,近视贪心,663,13
0,近视贪心,564,13
0,近视贪心,235,14
0,近视贪心,13,14
0,近视贪心,534,14
0,近视贪心,184,15
0,近视贪心,705,15
0,近视贪心,709,15
0,近视贪心,220,16
0,近视贪心,471,16
0,近视贪心,156,16
0,近视贪心,520,17
0,近视贪心,453,17
0,近视贪心,54,17
0,近视贪心,388,18
0,近视贪心,628,18
0,近视贪心,154,18
0,近视贪心,477,19
0,近视贪心,420,19
0,近视贪心,454,19
0,近视贪心,153,20
0,近视贪心,629,20
0,近视贪心,1,20
0,近视贪心,591,21
0,近视贪心,571,21
0,近视贪心,329,21
0,近视贪心,71,22
0,近视贪心,598,22
0,近视贪心,666,22
0,近视贪心,45,23
0,近视贪心,716,23
0,近视贪心,533,23
0,近视贪心,368,24
0,近视贪心,522,24
0,近视贪心,523,24
0,PPO,260,0
0,PPO,319,0
0,PPO,315,0
0,PPO,658,1
0,PPO,165,1
0,PPO,10,1
0,PPO,87,2
0,PPO,115,2
0,PPO,108,2
0,PPO,85,3
0,PPO,70,3
0,PPO,625,3
0,PPO,322,4
0,PPO,211,4
0,PPO,194,4
0,PPO,255,5
0,PPO,609,5
0,PPO,681,5
0,PPO,258,6
0,PPO,418,6
0,PPO,151,6
0,PPO,223,7
0,PPO,212,7
0,PPO,646,7
0,PPO,208,8
0,PPO,153,8
0,PPO,276,8
0,PPO,589,9
0,PPO,23,9
0,PPO,434,9
0,PPO,326,10
0,PPO,74,10
0,PPO,420,10
0,PPO,48,11
0,PPO,270,11
0,PPO,249,11
0,PPO,125,12
0,PPO,248,12
0,PPO,31,12
0,PPO,275,13
0,PPO,60,13
0,PPO,563,13
0,PPO,84,14
0,PPO,669,14
0,PPO,425,14
0,PPO,175,15
0,PPO,121,15
0,PPO,184,15
0,PPO,238,16
0,PPO,136,16
0,PPO,702,16
0,PPO,14,17
0,PPO,388,17
0,PPO,54,17
0,PPO,235,18
0,PPO,26,18
0,PPO,18,18
0,PPO,83,19
0,PPO,13,19
0,PPO,156,19
0,PPO,250,20
0,PPO,329,20
0,PPO,541,20
0,PPO,169,21
0,PPO,684,21
0,PPO,581,21
0,PPO,154,22
0,PPO,1,22
0,PPO,528,22
0,PPO,286,23
0,PPO,143,23
0,PPO,571,23
0,PPO,98,24
0,PPO,71,24
0,PPO,666,24
