seed,policy,unit,year
2,随机,541,0
2,随机,190,0
2,随机,319,0
2,随机,115,1
2,随机,49,1
2,随机,87,1
2,随机,199,2
2,随机,165,2
2,随机,677,2
2,随机,499,3
2,随机,681,3
2,随机,85,3
2,随机,322,4
2,随机,479,4
2,随机,153,4
2,随机,658,5
2,随机,260,5
2,随机,655,5
2,随机,609,6
2,随机,18,6
2,随机,108,6
2,随机,212,7
2,随机,223,7
2,随机,709,7
2,随机,695,8
2,随机,420,8
2,随机,211,8
2,随机,418,9
2,随机,10,9
2,随机,471,9
2,随机,151,10
2,随机,16,10
2,随机,528,10
2,随机,326,11
2,随机,454,11
2,随机,434,11
2,随机,31,12
2,随机,249,12
2,随机,83,12
2,随机,545,13
2,随机,275,13
2,随机,684,13
2,随机,648,14
2,随机,26,14
2,随机,84,14
2,随机,286,15
2,随机,121,15
2,随机,705,15
2,随机,238,16
2,随机,534,16
2,随机,500,16
2,随机,235,17
2,随机,13,17
2,随机,581,17
2,随机,557,18
2,随机,628,18
2,随机,388,18
2,随机,666,19
2,随机,143,19
2,随机,169,19
2,随机,59,20
2,随机,477,20
2,随机,154,20
2,随机,331,21
2,随机,598,21
2,随机,194,21
2,随机,250,22
2,随机,71,22
2,随机,1,22
2,随机,315,23
2,随机,70,23
2,随机,156,23
2,随机,271,24
2,随机,329,24
2,随机,629,24
2,近视贪心,260,0
2,近视贪心,115,0
2,近视贪心,165,0
2,近视贪心,541,1
2,近视贪心,681,1
2,近视贪心,319,1
2,近视贪心,10,2
2,近视贪心,684,2
2,近视贪心,194,2
2,近视贪心,418,3
2,近视贪心,655,3
2,近视贪心,322,3
2,近视贪心,85,4
2,近视贪心,151,4
2,近视贪心,677,4
2,近视贪心,18,5
2,近视贪心,499,5
2,近视贪心,479,5
2,近视贪心,609,6
2,近视贪心,581,6
2,近视贪心,258,6
2,近视贪心,555,7
2,近视贪心,646,7
2,近视贪心,223,7
2,近视贪心,83,8
2,近视贪心,23,8
2,近视贪心,26,8
2,近视贪心,658,9
2,近视贪心,695,9
2,近视贪心,255,9
2,近视贪心,689,10
2,近视贪心,74,10
2,近视贪心,528,10
2,近视贪心,500,11
2,近视贪心,276,11
2,近视贪心,286,11
2,近视贪心,545,12
2,近视贪心,563,12
2,近视贪心,249,12
2,近视贪心,270,13
2,近视贪心,663,13
2,近视贪心,564,13
2,近视贪心,235,14
2,近视贪心,13,14
2,近视贪心,534,14
2,近视贪心,184,15
2,近视贪心,705,15
2,近视贪心,709,15
2,近视贪心,220,16
2,近视贪心,471,16
2,近视贪心,156,16
2,近视贪心,520,17
2,近视贪心,453,17
2,近视贪心,54,17
2,近视贪心,388,18
2,近视贪心,628,18
2,近视贪心,154,18
2,近视贪心,477,19
2,近视贪心,420,19
2,近视贪心,454,19
2,近视贪心,153,20
2,近视贪心,629,20
2,近视贪心,1,20
2,近视贪心,591,21
2,近视贪心,571,21
2,近视贪心,329,21
2,近视贪心,71,22
2,近视贪心,598,22
2,近视贪心,666,22
2,近视贪心,45,23
2,近视贪心,716,23
2,近视贪心,533,23
2,近视贪心,368,24
2,近视贪心,522,24
2,近视贪心,523,24
2,PPO,681,0
2,PPO,658,0
2,PPO,434,0
2,PPO,499,1
2,PPO,541,1
2,PPO,10,1
2,PPO,655,2
2,PPO,108,2
2,PPO,695,2
2,PPO,625,3
2,PPO,709,3
2,PPO,165,3
2,PPO,479,4
2,PPO,555,4
2,PPO,87,4
2,PPO,677,5
2,PPO,85,5
2,PPO,609,5
2,PPO,258,6
2,PPO,581,6
2,PPO,557,6
2,PPO,693,7
2,PPO,646,7
2,PPO,684,7
2,PPO,276,8
2,PPO,534,8
2,PPO,212,8
2,PPO,589,9
2,PPO,471,9
2,PPO,211,9
2,PPO,587,10
2,PPO,528,10
2,PPO,429,10
2,PPO,476,11
2,PPO,248,11
2,PPO,454,11
2,PPO,563,12
2,PPO,545,12
2,PPO,125,12
2,PPO,275,13
2,PPO,564,13
2,PPO,663,13
2,PPO,286,14
2,PPO,425,14
2,PPO,598,14
2,PPO,705,15
2,PPO,238,15
2,PPO,654,15
2,PPO,702,16
2,PPO,503,16
2,PPO,121,16
2,PPO,571,17
2,PPO,666,17
2,PPO,500,17
2,PPO,115,18
2,PPO,194,18
2,PPO,151,18
2,PPO,250,19
2,PPO,523,19
2,PPO,533,19
2,PPO,628,20
2,PPO,154,20
2,PPO,520,20
2,PPO,629,21
2,PPO,591,21
2,PPO,18,21
2,PPO,477,22
2,PPO,697,22
2,PPO,716,22
2,PPO,331,23
2,PPO,453,23
2,PPO,26,23
2,PPO,271,24
2,PPO,83,24
2,PPO,13,24
