alpha,seed,n_g0,均年_g0,中位年_g0,盲区率_g0,可交付数_g0,预算利用_g0,n_g10,均年_g10,中位年_g10,盲区率_g10,可交付数_g10,预算利用_g10
0.15,0,15,7.0,7.0,0.6,6,0.9955555555555555,24,7.916666666666667,8.5,0.6666666666666666,8,0.9992592592592593
0.15,1,24,7.375,7.5,0.6666666666666666,8,0.9985185185185185,18,7.222222222222222,7.5,0.6666666666666666,6,0.9977777777777778
0.15,2,15,7.0,7.0,0.6,6,0.9955555555555555,34,6.382352941176471,6.5,0.5294117647058824,16,0.9985185185185185
0.15,3,21,7.285714285714286,7.0,0.6190476190476191,8,1.0,40,6.95,7.0,0.6,16,1.0
0.15,4,15,7.0,7.0,0.6,6,0.9896296296296296,21,7.285714285714286,7.0,0.6190476190476191,8,1.0
0.3,0,15,7.0,7.0,0.6,6,0.9955555555555555,15,7.0,7.0,0.6,6,0.9955555555555555
0.3,1,40,6.9,7.0,0.6,16,0.9977777777777778,21,8.095238095238095,8.0,0.7142857142857143,6,0.9977777777777778
0.3,2,21,7.285714285714286,7.0,0.6190476190476191,8,1.0,34,6.264705882352941,6.0,0.5294117647058824,16,0.9985185185185185
0.3,3,33,7.363636363636363,8.0,0.6363636363636364,12,0.9977777777777778,17,6.9411764705882355,7.0,0.5882352941176471,7,0.9985185185185185
0.3,4,15,7.0,7.0,0.6,6,1.0,23,6.434782608695652,7.0,0.5652173913043478,10,0.9992592592592593
0.5,0,26,7.3076923076923075,7.5,0.5769230769230769,11,0.9985185185185185,25,6.64,6.0,0.56,11,0.9977777777777778
0.5,1,29,7.103448275862069,7.0,0.6206896551724138,11,0.9977777777777778,31,7.0,7.0,0.6451612903225806,11,0.9992592592592593
0.5,2,31,7.0,7.0,0.6451612903225806,11,0.997037037037037,23,8.043478260869565,8.0,0.7391304347826086,6,1.0
0.5,3,43,6.813953488372093,7.0,0.5813953488372093,18,0.9977777777777778,33,6.090909090909091,5.0,0.48484848484848486,17,0.9977777777777778
0.5,4,27,7.074074074074074,8.0,0.6296296296296297,10,0.9977777777777778,25,7.04,7.0,0.56,11,0.9992592592592593
0.7,0,15,7.0,7.0,0.6,6,0.9985185185185185,45,7.0,7.0,0.6,18,0.9022222222222223
0.7,1,31,7.419354838709677,7.0,0.6451612903225806,11,1.0,43,6.674418604651163,7.0,0.5813953488372093,18,0.9577777777777777
0.7,2,26,6.615384615384615,7.5,0.6153846153846154,10,0.922962962962963,15,7.0,7.0,0.6,6,0.977037037037037
0.7,3,22,7.818181818181818,8.0,0.7272727272727273,6,0.9988888888888889,45,7.0,7.0,0.6,18,0.8111111111111111
0.7,4,24,6.583333333333333,6.5,0.5416666666666666,11,1.0,15,7.0,7.0,0.6,6,0.9918518518518519
0.85,0,15,7.0,7.0,0.6,6,0.011851851851851851,19,7.368421052631579,8.0,0.631578947368421,7,0.9985185185185185
0.85,1,22,7.863636363636363,8.0,0.7272727272727273,6,0.9985185185185185,24,7.708333333333333,8.0,0.625,9,1.0
0.85,2,28,7.678571428571429,8.0,0.7142857142857143,8,0.9985185185185185,18,7.611111111111111,7.5,0.6666666666666666,6,0.9925925925925926
0.85,3,34,5.588235294117647,5.0,0.47058823529411764,18,0.9474074074074074,23,8.043478260869565,8.0,0.7391304347826086,6,0.9977777777777778
0.85,4,18,6.888888888888889,6.5,0.5555555555555556,8,0.9977777777777778,26,7.8076923076923075,8.5,0.6923076923076923,8,1.0
0.0,0,21,7.285714285714286,7.0,0.6190476190476191,8,1.0,21,7.285714285714286,7.0,0.6190476190476191,8,1.0
0.0,1,16,7.1875,7.5,0.625,6,0.997037037037037,16,7.1875,7.5,0.625,6,0.997037037037037
0.0,2,29,5.862068965517241,5.0,0.4482758620689655,16,0.9896296296296296,29,5.862068965517241,5.0,0.4482758620689655,16,0.9896296296296296
0.0,3,21,7.285714285714286,7.0,0.6190476190476191,8,1.0,21,7.285714285714286,7.0,0.6190476190476191,8,1.0
0.0,4,15,7.0,7.0,0.6,6,0.9896296296296296,15,7.0,7.0,0.6,6,0.9896296296296296
1.0,0,45,7.0,7.0,0.6,18,0.8748148148148148,23,6.956521739130435,7.0,0.6086956521739131,9,0.9977777777777778
1.0,1,38,6.447368421052632,6.0,0.5263157894736842,18,0.9985185185185185,23,7.869565217391305,9.0,0.6956521739130435,7,0.9992592592592593
1.0,2,20,7.85,8.5,0.65,7,0.9992592592592593,36,7.222222222222222,7.5,0.6666666666666666,12,0.997037037037037
1.0,3,44,6.886363636363637,7.0,0.5909090909090909,18,0.9985185185185185,20,6.95,7.0,0.6,8,0.9962962962962963
1.0,4,26,7.730769230769231,8.5,0.6923076923076923,8,0.9974074074074074,40,6.275,6.0,0.55,18,0.9666666666666667
