组,alpha,seed,落盘,复算_g0,复算_g0.1,判定
base,0.0,1,2051048.4106748544,2051048.4106748544,6244455.108830887,growth=0
base,0.85,3,2188988.5622912594,2188988.5622912594,6509536.471684399,growth=0
base,1.0,2,2128552.758121773,2128552.758121773,6572121.169993811,growth=0
base,0.5,3,2300182.32787153,2300182.32787153,7007938.173990501,growth=0
base,0.85,0,1515471.2770148509,1515471.2770148509,4768682.579792896,growth=0
base,0.15,3,1959878.0338028073,1959878.0338028078,5572449.973774464,growth=0
base,1.0,1,2036517.9678846337,2036517.9678846337,6118450.463015294,growth=0
base,0.7,2,2210677.743101896,2210677.743101896,6721305.5799308,growth=0
base,0.3,3,2053724.5491331406,2053724.5491331406,6111526.260824067,growth=0
base,0.15,0,2003738.2476295582,2003738.2476295582,6039049.030369711,growth=0
base,0.0,4,1819145.4999495484,1819145.4999495484,5486251.854338785,growth=0
base,0.85,2,1934116.0241769615,1934116.0241769615,5730734.694114434,growth=0
base,0.5,0,2021312.3104428183,2021312.3104428183,6061862.446099792,growth=0
base,0.5,2,2114222.0066896067,2114222.006689607,6436321.507857748,growth=0
base,0.7,1,2239448.7706155647,2239448.7706155647,6728530.584308356,growth=0
base,0.0,0,2003738.2476295582,2003738.2476295582,6039049.030369711,growth=0
base,0.0,3,2003738.2476295582,2003738.2476295582,6039049.030369711,growth=0
base,0.3,0,2142871.997761542,2142871.997761542,6361307.030852584,growth=0
base,0.5,1,2103719.218458168,2103719.218458168,6248956.470327054,growth=0
base,0.7,3,1884892.2962019208,1884892.2962019208,5585206.516645698,growth=0
base,0.0,2,2276498.8344455734,2276498.8344455743,7408411.692662792,growth=0
base,0.3,2,2088813.2660990707,2088813.2660990716,6247655.271057827,growth=0
base,1.0,4,1757826.5556390851,1757826.5556390851,5157272.092929112,growth=0
base,1.0,3,973800.3398286406,973800.3398286406,3030810.059543359,growth=0
base,0.3,1,2003738.2476295582,2003738.2476295582,6039049.030369711,growth=0
base,0.15,2,2113224.4633129677,2113224.463312968,6334167.477251063,growth=0
base,0.85,4,1537432.4436099199,1537432.4436099199,4479832.909112516,growth=0
base,0.7,0,1685865.1006495215,1685865.1006495215,4852127.402186463,growth=0
base,0.3,4,1468166.9324779669,1468166.9324779669,4244023.654965818,growth=0
base,0.5,4,1622911.6816417316,1622911.6816417319,4944341.966167065,growth=0
base,0.15,1,1859805.2515780125,1859805.2515780125,5557252.006642772,growth=0
base,0.85,1,1781353.9822060545,1781353.9822060545,5142437.69202218,growth=0
base,0.7,4,1687498.6835318215,1687498.683531822,5047459.738990929,growth=0
base,0.15,4,2356595.903478112,2356595.903478112,7217446.781196174,growth=0
base,1.0,0,981060.5430092964,981060.5430092964,3010403.257904254,growth=0
build3,0.15,3,6728328.771119942,2497382.051069804,6728328.771119942,growth=0.1
build3,0.85,4,6610818.358473828,2489104.742528713,6610818.358473828,growth=0.1
build3,0.5,3,8608106.89213838,3148241.7202435136,8608106.89213838,growth=0.1
build3,0.3,4,8383846.850551221,3041884.2873971937,8383846.850551222,growth=0.1
build3,0.3,3,7199707.358669375,2681357.1249352344,7199707.358669375,growth=0.1
build3,0.5,1,7514579.755979268,2804739.3719236245,7514579.755979268,growth=0.1
build3,0.0,2,7199707.358669375,2681357.1249352344,7199707.358669375,growth=0.1
build3,0.0,1,7260461.84326311,2769288.3559107305,7260461.84326311,growth=0.1
build3,0.15,1,8503133.740653355,3094843.852263636,8503133.740653355,growth=0.1
build3,0.5,0,8038590.248617193,3066177.9483082243,8038590.248617193,growth=0.1
build3,0.5,4,7622102.553587055,2909895.507269504,7622102.553587055,growth=0.1
build3,1.0,0,6939158.040183535,2576905.9405827043,6939158.040183535,growth=0.1
build3,0.3,2,6356512.413773629,2412753.665914613,6356512.413773629,growth=0.1
build3,0.0,4,9293756.781941298,3208349.33714612,9293756.781941298,growth=0.1
build3,1.0,4,4134533.71362991,1495608.8491857634,4134533.71362991,growth=0.1
build3,0.7,0,7823652.450785788,3107117.911942827,7823652.450785789,growth=0.1
build3,0.85,0,8027632.832197651,3127530.1951313904,8027632.832197651,growth=0.1
build3,0.0,3,7253789.094426776,2678565.0644542784,7253789.094426776,growth=0.1
build3,0.15,4,8830186.7487617,3192486.043303932,8830186.748761699,growth=0.1
build3,0.7,1,8758675.454096403,3091201.130387495,8758675.454096403,growth=0.1
build3,0.5,2,7842908.155032885,2885235.7415471203,7842908.155032885,growth=0.1
build3,0.85,1,7017195.965968643,2570071.5072747776,7017195.965968644,growth=0.1
build3,0.7,2,8499719.231103977,3133812.5077896863,8499719.231103977,growth=0.1
build3,0.3,1,8008617.333522914,2913460.191833665,8008617.333522914,growth=0.1
build3,0.0,0,7108411.469293237,2721896.0880480953,7108411.469293237,growth=0.1
build3,1.0,1,7707222.451848866,2723179.9219275774,7707222.451848866,growth=0.1
build3,0.3,0,7979515.6669479925,3017110.9418280567,7979515.6669479925,growth=0.1
build3,0.85,2,8416733.545459354,3182173.456391989,8416733.545459354,growth=0.1
build3,0.7,3,8234507.532204022,3072523.1878296267,8234507.53220402,growth=0.1
build3,0.85,3,7362414.393892333,2828321.5700245462,7362414.393892333,growth=0.1
build3,0.7,4,8351223.457557023,3077149.5990631166,8351223.457557024,growth=0.1
build3,0.15,0,7349223.167007971,2828808.4299098193,7349223.167007971,growth=0.1
build3,1.0,2,7771169.879428965,2917380.016248166,7771169.879428965,growth=0.1
build3,0.15,2,7153644.797087279,2608147.7401575404,7153644.79708728,growth=0.1
build3,1.0,3,8328962.735664239,3016831.8171752407,8328962.735664239,growth=0.1
g010,0.3,2,6054535.717586236,1982679.5242029645,6054535.717586236,growth=0.1
g010,0.3,4,4710125.130677027,1615403.6204904956,4710125.130677027,growth=0.1
g010,0.0,2,7408411.69266279,2276498.8344455743,7408411.692662792,growth=0.1
g010,1.0,1,6903990.961153251,2264661.737486005,6903990.961153251,growth=0.1
g010,1.0,2,5065887.247756375,1778989.0194943864,5065887.247756375,growth=0.1
g010,0.15,3,6856767.672500772,2310993.0347639234,6856767.672500772,growth=0.1
g010,0.15,0,7623534.516216891,2519606.2999192653,7623534.516216891,growth=0.1
g010,0.0,1,6244455.108830886,2051048.4106748544,6244455.108830887,growth=0.1
g010,0.0,4,5486251.854338785,1819145.4999495484,5486251.854338785,growth=0.1
g010,0.3,3,4491681.11721677,1539169.4111044023,4491681.11721677,growth=0.1
g010,0.85,0,5007707.206513415,1747243.2571502603,5007707.206513415,growth=0.1
g010,0.3,1,4945630.9414946465,1659492.1854148104,4945630.9414946465,growth=0.1
g010,0.5,3,4244023.654965819,1468166.9324779669,4244023.654965818,growth=0.1
g010,0.5,1,5191019.339680272,1785983.1134090382,5191019.339680272,growth=0.1
g010,0.15,4,5943784.5915995855,1974947.716594914,5943784.5915995855,growth=0.1
g010,1.0,3,6062018.020280749,1989898.895585321,6062018.020280749,growth=0.1
g010,0.5,4,6229709.504146189,2066012.4323608368,6229709.504146189,growth=0.1
g010,0.7,0,8040976.559910057,2553586.1929021585,8040976.559910056,growth=0.1
g010,0.15,1,6039049.030369711,2003738.2476295582,6039049.030369711,growth=0.1
g010,0.5,0,5029458.018706197,1703155.1078358337,5029458.018706197,growth=0.1
g010,0.85,4,6121255.019362877,2013454.2513307445,6121255.019362876,growth=0.1
g010,0.85,1,5155465.7427389175,1759131.7497219958,5155465.7427389175,growth=0.1
g010,0.0,3,6039049.030369711,2003738.2476295582,6039049.030369711,growth=0.1
g010,0.5,2,6753805.085203499,2246167.849685601,6753805.085203499,growth=0.1
g010,0.85,3,5922116.116627499,2026006.728803515,5922116.116627499,growth=0.1
g010,0.7,1,5923159.680285724,1967996.4236296962,5923159.680285724,growth=0.1
g010,0.7,3,6329142.075492094,2133796.2152604847,6329142.075492093,growth=0.1
g010,0.3,0,5366014.992985172,1834397.3202110133,5366014.992985172,growth=0.1
g010,0.15,2,6519419.739785487,2158427.686886183,6519419.739785487,growth=0.1
g010,0.85,2,5346882.769837389,1809537.8355633765,5346882.769837389,growth=0.1
g010,0.7,4,6204751.043272299,2041274.6124576195,6204751.043272299,growth=0.1
g010,0.0,0,6039049.030369711,2003738.2476295582,6039049.030369711,growth=0.1
g010,1.0,0,7020076.373315032,2299352.301813395,7020076.3733150335,growth=0.1
g010,0.7,2,5207800.053308317,1753496.6402978743,5207800.053308317,growth=0.1
g010,1.0,4,6015304.9768340085,2054728.1528175555,6015304.9768340085,growth=0.1
gamma090,0.15,4,959748.7853454795,959748.7853454795,2797122.3934139097,growth=0
gamma090,0.85,3,1097824.9731124646,1097824.9731124646,3265171.209749908,growth=0
gamma090,0.3,1,959748.7853454795,959748.7853454795,2797122.3934139097,growth=0
gamma090,0.0,2,1184232.4240946295,1184232.4240946295,3496451.5524957194,growth=0
gamma090,1.0,3,1168839.2045002778,1168839.2045002778,3436537.029292458,growth=0
gamma090,0.3,2,989926.8438641008,989926.8438641008,2900208.506228028,growth=0
gamma090,0.15,3,1115305.5839143898,1115305.5839143898,3223987.989425285,growth=0
gamma090,0.5,0,1134251.4414837542,1134251.4414837542,3365488.452403198,growth=0
gamma090,0.15,0,991536.849592245,991536.849592245,2937717.60723342,growth=0
gamma090,0.7,0,937088.197328217,937088.197328217,2753511.7399154943,growth=0
gamma090,0.7,4,1009331.8615310073,1009331.8615310073,2923634.4129126156,growth=0
gamma090,0.5,1,1196898.72858485,1196898.72858485,3445979.8295310526,growth=0
gamma090,0.7,1,983423.4390886633,983423.4390886634,2852924.9535291265,growth=0
gamma090,0.0,0,1191092.927808402,1191092.927808402,3642194.6377665787,growth=0
gamma090,0.85,0,993224.530080726,993224.530080726,2944931.574071072,growth=0
gamma090,0.0,4,837423.603566359,837423.603566359,2433459.195067062,growth=0
gamma090,0.5,3,929273.5566601291,929273.5566601291,2665237.4266768647,growth=0
gamma090,0.15,1,1092041.4190230053,1092041.419023005,3161528.700491781,growth=0
gamma090,0.5,2,812807.1581384896,812807.1581384896,2317236.4496885776,growth=0
gamma090,1.0,4,927201.4397282209,927201.4397282212,2576398.2201524465,growth=0
gamma090,0.3,3,957653.6103475478,957653.6103475478,2763625.18229631,growth=0
gamma090,1.0,1,943701.3500718273,943701.3500718273,2740386.207012518,growth=0
gamma090,0.7,3,785219.4915518761,785219.4915518762,2214037.5450202217,growth=0
gamma090,0.0,3,989522.6014999843,989522.6014999843,2837173.552631895,growth=0
gamma090,0.5,4,861826.6599804435,861826.6599804435,2553103.1353097036,growth=0
gamma090,0.0,1,1242366.8168401995,1242366.8168401995,3640277.5786478654,growth=0
gamma090,0.3,0,1139977.6893331646,1139977.6893331646,3384551.6907677567,growth=0
gamma090,1.0,0,993415.5136215606,993415.5136215606,2859303.8744289274,growth=0
gamma090,1.0,2,883472.5935169983,883472.5935169983,2578363.0026893783,growth=0
gamma090,0.3,4,798968.5866377186,798968.5866377186,2408595.417852002,growth=0
gamma090,0.7,2,1210161.5406511796,1210161.5406511796,3563093.969667381,growth=0
gamma090,0.85,1,845977.5306833175,845977.5306833175,2435975.5639765426,growth=0
gamma090,0.15,2,1142616.5448659686,1142616.5448659686,3344927.5900331754,growth=0
gamma090,0.85,4,934259.168225507,934259.168225507,2627214.253635037,growth=0
gamma090,0.85,2,1255950.6417461256,1255950.6417461256,3482373.896425961,growth=0
gamma0926,0.85,0,4657426.925080669,1550172.065922259,4657426.925080669,growth=0.1
gamma0926,1.0,3,3720871.9750279947,1286633.2504275283,3720871.9750279947,growth=0.1
gamma0926,0.0,2,4180151.66590426,1461090.9962192515,4180151.66590426,growth=0.1
gamma0926,0.5,3,4478668.985719757,1497261.337653914,4478668.985719757,growth=0.1
gamma0926,0.15,1,5681967.215696536,1811304.5602977232,5681967.215696536,growth=0.1
gamma0926,0.5,4,3812469.328774339,1318798.0242235572,3812469.328774339,growth=0.1
gamma0926,0.3,4,4478668.985719757,1497261.337653914,4478668.985719757,growth=0.1
gamma0926,0.7,4,4141316.279434552,1370385.7185132308,4141316.279434552,growth=0.1
gamma0926,0.15,0,3144815.5581199555,1107854.0755043356,3144815.5581199555,growth=0.1
gamma0926,0.7,3,5457714.8080292335,1886896.8878955203,5457714.8080292335,growth=0.1
gamma0926,0.15,2,3853142.3746158727,1322568.1731998126,3853142.3746158727,growth=0.1
gamma0926,0.5,0,3875520.940231085,1316578.576384051,3875520.940231085,growth=0.1
gamma0926,0.5,2,5038680.080926639,1662625.0716265503,5038680.080926639,growth=0.1
gamma0926,0.0,0,3199642.162300549,1119142.266825487,3199642.162300549,growth=0.1
gamma0926,0.3,2,4861050.651376957,1591409.8098100836,4861050.651376957,growth=0.1
gamma0926,0.85,2,3778968.481669183,1305828.652107711,3778968.4816691824,growth=0.1
gamma0926,0.0,1,4689647.476093827,1604035.3535753097,4689647.476093827,growth=0.1
gamma0926,0.5,1,2862161.252521477,980888.1061310141,2862161.2525214767,growth=0.1
gamma0926,1.0,4,2340904.3288369,789137.8609391585,2340904.3288369,growth=0.1
gamma0926,0.85,1,3942628.3221924677,1378832.7431726817,3942628.3221924677,growth=0.1
gamma0926,0.15,4,5473568.287664999,1727695.951700688,5473568.287664999,growth=0.1
gamma0926,0.85,4,4733955.493776252,1600874.9669411886,4733955.493776252,growth=0.1
gamma0926,0.3,3,3812469.328774339,1318798.0242235572,3812469.328774339,growth=0.1
gamma0926,0.7,1,4149742.7274686084,1325658.8920386347,4149742.7274686084,growth=0.1
gamma0926,0.7,0,3354926.272443993,1157837.1016895731,3354926.272443993,growth=0.1
gamma0926,0.7,2,3605396.275474239,1260121.6653377232,3605396.275474239,growth=0.1
gamma0926,1.0,0,4502854.342172164,1505217.0799869902,4502854.342172164,growth=0.1
gamma0926,0.85,3,3408174.5225175777,1087831.534819759,3408174.5225175777,growth=0.1
gamma0926,0.15,3,4667129.247433966,1560013.8728216481,4667129.247433965,growth=0.1
gamma0926,0.3,0,4644344.719101058,1563164.4283883995,4644344.719101058,growth=0.1
gamma0926,1.0,2,4712014.715575436,1573195.0232920356,4712014.715575436,growth=0.1
gamma0926,0.3,1,4864490.213139043,1618536.0299557177,4864490.213139043,growth=0.1
gamma0926,0.0,4,4805296.939374563,1640879.759767299,4805296.939374563,growth=0.1
gamma0926,1.0,1,5086502.157587514,1685585.2221631124,5086502.157587514,growth=0.1
gamma0926,0.0,3,3360949.848282189,1154826.2132682814,3360949.848282189,growth=0.1
horizon20,0.5,0,10530061.585148336,3050129.791219546,10530061.585148335,growth=0.1
horizon20,0.7,0,11193099.46296774,3141053.1099250396,11193099.462967739,growth=0.1
horizon20,0.85,4,12869022.686875978,3530328.310313739,12869022.686875978,growth=0.1
horizon20,1.0,2,12297497.852575568,3392664.0191719667,12297497.852575568,growth=0.1
horizon20,0.0,3,12273038.182493856,3261084.742454382,12273038.182493856,growth=0.1
horizon20,0.5,4,11088469.402308103,2987603.0307720816,11088469.402308103,growth=0.1
horizon20,0.15,4,13714559.809337426,3543442.60159958,13714559.809337426,growth=0.1
horizon20,0.15,0,11879820.8618767,3110472.7244578293,11879820.8618767,growth=0.1
horizon20,0.0,1,12871763.741820745,3259405.7871597772,12871763.741820747,growth=0.1
horizon20,0.3,3,12871763.741820745,3259405.7871597772,12871763.741820747,growth=0.1
horizon20,0.7,1,13005887.84793367,3584756.036027079,13005887.84793367,growth=0.1
horizon20,0.7,4,12837447.925329184,3456070.8973211185,12837447.925329186,growth=0.1
horizon20,0.85,1,10852826.54528742,2751103.594836682,10852826.54528742,growth=0.1
horizon20,0.7,2,13508036.824360708,3667034.617055326,13508036.824360708,growth=0.1
horizon20,0.85,0,11047969.553845456,2992850.939903508,11047969.553845456,growth=0.1
horizon20,0.3,1,12521703.102193296,3293462.29555624,12521703.102193296,growth=0.1
horizon20,0.5,3,11875970.191979043,3149359.7086877315,11875970.191979043,growth=0.1
