组,自查1_CRH单调_违例运行数,自查1_通过,组池化_CRH_T,组池化_CRH_Teval,闭区间口径,自查2_LSR,自查2_起始年号,自查2_起始年及以后立项占比,自查2_再晚一年及以后立项占比,自查2_逐运行相关系数,自查2_同向
ablation,0,True,0.27380504849942133,0.7059830446532561,False,0.6985507246376812,5,0.6985507246376812,0.6420289855072464,0.9999999999999999,True
budget1500,0,True,0.3014897888647395,0.705983044653256,False,0.6682003185276942,5,0.6682003185276942,0.5956467881790833,1.0,True
budget600,0,True,0.26217441593447155,0.7059830446532561,False,0.7079646017699115,5,0.7079646017699115,0.6533923303834809,1.0,True
build3,0,True,0.3812223856277376,0.705983044653256,False,0.551048951048951,7,0.551048951048951,0.48391608391608393,1.0,True
buildmix,0,True,0.3675293751853819,0.7059830446532561,False,0.5701078582434514,7,0.5608628659476117,0.4899845916795069,0.9479110541893562,True
carry1,0,True,0.26500353398250903,0.705983044653256,False,0.7128279883381924,5,0.7128279883381924,0.6530612244897959,0.9999999999999999,True
carry6,0,True,0.2718002221068744,0.7059830446532561,False,0.709915611814346,5,0.709915611814346,0.6453059071729957,0.9999999999999999,True
carryInf,0,True,0.2718002221068744,0.7059830446532561,False,0.709915611814346,5,0.709915611814346,0.6453059071729957,0.9999999999999999,True
main,0,True,0.2646772685109253,0.7059830446532561,False,0.7178270042194093,5,0.7178270042194093,0.6558544303797469,1.0,True
quota2,0,True,0.294196146704435,0.7059830446532561,False,0.6764331210191082,5,0.6764331210191082,0.6050955414012739,1.0,True
quota6,0,True,0.2726020523855753,0.7059830446532561,False,0.6996805111821086,5,0.6996805111821086,0.6437699680511182,0.9999999999999999,True
staged,0,True,0.27619573370247336,0.7059830446532561,False,0.705018686599039,5,0.705018686599039,0.6377469300587293,1.0,True
statutory,0,True,0.23328307096446702,0.504674232,False,0.6065989847715736,6,0.6065989847715736,0.5380710659898477,1.0,True
tauA1,0,True,0.5531628532974427,1.0,False,0.4468371467025572,7,0.5208613728129206,0.4468371467025572,0.9631642692959677,True
tauA3,0,True,0.3799264922980602,0.8682798320986006,False,0.6146926536731634,6,0.6146926536731634,0.5472263868065967,1.0,True
tauA5,0,True,0.2750017656012177,0.6723200000000001,False,0.6834094368340944,5,0.6834094368340944,0.6225266362252664,1.0,True
