组,n_run,n_initiated,n_ep,init_per_ep,CRH_T,ACD_T,ACD_T_p25,ACD_T_p50,ACD_T_p75,expire_rate_T,CRH_Teval,ACD_Teval,ACD_Teval_p25,ACD_Teval_p50,ACD_Teval_p75,expire_rate_Teval,expire_rate_uncond,LSR,slack_mean,late_share_y0,late_share_late,late_share_later,n_init_early,late_share_y0_years,cap_early_quota,cap_early_money,early_fill,early_binding,CRH_T_early,slack_mean_early,LSR_floor,LSR_excess,spend_ratio,idle_ratio,clipped_ratio,residual_ratio,released_ratio,decomp_sum,T来源,T_eval来源,budget来源,carry来源,tau_max来源,hazard来源,build_years来源,quota来源,quota,tau_max,T,T_eval,budget,carry_cap,hazard,build_years,目标_Gdp,目标_Eco,目标_Res,目标_Emp,目标_Aec,目标_E2r,目标_Cpt,目标_Floor,目标_Cost,目标_Disrupt,目标_Expire,标量层_折扣回报尾段均值,标量层_折扣回报尾段标准差
ablation,35,7045,175,40.25714285714286,0.3073123189666007,8.386269512466027,7.0,8.0,9.0,0.19656775864913617,0.705983044653256,8.634977618257027,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6515259048970902,-2.24658695972603,5,0.6515259048970902,0.589070262597587,14.028571428571428,5,15.0,13.519862395428344,1.0376267907367978,资金,0.6930578839265588,2.661519062224798,0.6641623961391114,-0.012636491242021264,0.9925432098765432,0.007456790123456791,0.0005784832451499118,0.07354497354497354,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,2700.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",6392.808553197232,5274.5974027693655,-4759.4199128944165,2504.6886101419727,6406.301181056978,2161.399394086213,-5215.206265584888,11286746.45625389,-12894.042093872698,-31818.323752673088,-6.60906283082785,0.7125446198742053,0.24129439161984606
budget1500,35,5651,175,32.29142857142857,0.3014897888647395,8.371170460048319,7.0,8.0,9.0,0.1974507778341698,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6682003185276942,-2.2914031356379163,5,0.6682003185276942,0.5956467881790833,10.714285714285714,5,15.0,10.909940382417446,0.9820663852162702,资金,0.6936751582691429,2.7176657017360006,0.6621412905816575,0.0060590279460367436,0.9866057142857143,0.013394285714285692,0.006590476190476191,0.0734704761904762,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,1500.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",3586.135769570611,2851.9417928925664,-2615.010248903394,1414.1392179951447,3677.417370218724,1278.7755270318016,-3482.9319016606228,6399234.889962271,-7247.375680578904,-23926.4880496669,-5.395926570764007,0.7172142981799765,0.2152971158727431
buildmix,35,6885,175,39.34285714285714,0.398772586084196,6.590123159848933,5.0,6.0,8.0,0.1983600228882536,0.705983044653256,6.774411169455284,6.0,7.0,8.0,0.294016955346744,0.29401695534674405,0.5170660856935366,-0.33178673108898243,7,0.5112563543936093,0.45098039215686275,19.228571428571428,7,21.0,18.39113843544626,1.0455345924377981,资金,0.692623535176728,3.492845493712226,0.5325418698325206,-0.015475784138983983,0.9983068783068783,0.0016931216931217463,0.0,0.06835978835978836,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,2700.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 3, ""3"": 5, ""5"": 3}",6244.219515756371,6411.070061399708,-5264.593840578324,2471.4609266566517,6796.776730569321,2771.0833497721105,-6158.215867557827,12613008.352021376,-14239.44013294514,-22007.64070153311,-6.412554602390443,0.6900633762722086,0.23274909361813012
bytype,35,6767,175,38.668571428571425,0.2866150910089347,8.347778795626166,7.0,8.0,9.0,0.19421542639278053,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6904093394414068,-2.4927400910820876,5,0.6904093394414068,0.6187379932023053,11.971428571428572,5,15.0,13.08430106781985,0.9149459729929076,资金,0.6916018130489073,2.5932933867002004,0.6616295719124465,0.028779767528960276,0.9851136673417671,0.014886332658232915,0.007787195702304884,0.07376580362259479,0.0,1.0666666666666669,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,2700.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",3817.7918732225867,4416.239748758414,-1733.1278261501066,1411.7021894593133,5557.14934362876,810.4835182139249,-7420.433210505396,12713779.04264667,-12853.768839149585,-25298.33324119434,-6.340650215252803,0.759819152152934,0.2591748949368816
bytypeAbl,35,7000,175,40.0,0.2937777036625971,8.363619494093001,7.0,8.0,9.0,0.19573128741654675,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6771428571428572,-2.3839057268354282,5,0.6771428571428572,0.6121428571428571,12.914285714285715,5,15.0,13.434491234474242,0.9612783609658676,资金,0.6933608805655662,2.6785152592581234,0.6641377191381439,0.013005138004713257,0.9924702841830491,0.007529715816950944,0.0006010972484430774,0.07359528523517468,0.0,1.0666666666666669,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,2700.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",3828.661731932785,5260.227369745813,-1810.9278895944087,1273.7458144152886,6634.886264179792,894.9284688498803,-7396.406804088957,12519524.518797452,-12965.345868111612,-23162.393921403018,-6.462319308619257,0.7434882858779879,0.24277348060011777
carry1,35,6920,175,39.542857142857144,0.3015100805214166,8.376437649880446,7.0,8.0,9.0,0.19650699688998427,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6647398843930635,-2.316605974564578,5,0.6647398843930635,0.5960982658959537,13.257142857142858,5,15.0,13.527514416968039,0.9800132122213048,资金,0.6934110073311217,2.6524243224256545,0.6579024533281204,0.006837431064943167,0.9743809523809523,0.025619047619047652,0.025619047619047618,0.06666666666666667,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,2700.0,1.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",6220.167555300895,5091.408231978845,-4705.150847813837,2447.466280040172,6185.721820072892,2154.569554306188,-5114.105790905892,10995741.726184554,-12546.892754865537,-30440.338752186195,-6.450580355241309,0.6971662372656886,0.20779459065748668
main,35,6925,175,39.57142857142857,0.3010005882515239,8.375988837745032,7.0,8.0,9.0,0.19594054136104314,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6635379061371841,-2.315171843390354,5,0.6635379061371841,0.5978339350180505,13.314285714285715,5,15.0,13.303994222306025,1.0007735640746471,资金,0.692777157975023,2.6567901652553125,0.663797979941725,-0.00026007380454085016,0.9914673721340388,0.008532627865961206,0.0011005291005291005,0.07409876543209877,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,2700.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",6481.878536045526,5250.044290194938,-4797.354788423571,2552.452735963195,6532.838620488032,2220.513602019172,-5342.490968613323,11272063.076296773,-12882.266304326859,-31654.583485710813,-6.474254076089567,0.7158551592228333,0.23396485748389437
poor,35,3792,175,21.66857142857143,0.2646772685109253,8.33148539903971,7.0,8.0,9.0,0.18569900001462342,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.7178270042194093,-2.8242688974201187,5,0.7178270042194093,0.6558544303797469,6.114285714285714,5,15.0,7.340680897194332,0.8329316857544705,资金,0.6919042221246998,2.608918038184598,0.6612291252613376,0.05659787895807167,0.9839492063492064,0.01605079365079365,0.01307936507936508,0.06963809523809524,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,900.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",2200.5177184468403,1633.9482854466628,-1299.0813514510437,850.6688865814842,2285.9663833525096,516.6147273463554,-2240.5755500211258,3783411.170948697,-4312.5896413449755,-17415.452227534337,-3.721392525713791,0.7628213340389932,0.182613055509478
poorAbl,35,3450,175,19.714285714285715,0.27380504849942133,8.354594293518199,7.0,8.0,9.0,0.1870629614452473,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6985507246376812,-2.689754588119072,5,0.6985507246376812,0.6420289855072464,5.942857142857143,5,15.0,6.5889992360580605,0.9019362318840579,资金,0.6921144827721188,2.621588778659077,0.6657754010695187,0.032775323568162484,0.9973333333333333,0.002666666666666706,0.0,0.06933333333333333,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,3,5,15,26,900.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",2351.0185397477594,1635.4170421791864,-1302.7116445965205,898.3641758914043,2446.8324315584673,595.0147414606953,-2296.720237984439,3867631.5502146864,-4444.540096332176,-18749.796642197696,-3.397406649778728,0.7716873143399164,0.18684676235128486
quota2,35,5235,175,29.914285714285715,0.299818502535526,8.374409367346582,7.0,8.0,9.0,0.19629212205097807,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6666666666666666,-2.323648529400581,5,0.6666666666666666,0.5998089780324737,9.971428571428572,5,10.0,10.001344409379731,0.9971428571428571,配额,0.6933092719618789,2.6753963607617886,0.6657115568290353,0.0009551098376313627,0.9970088183421517,0.0029911816578482853,0.0,0.06965784832451499,0.0,1.0666666666666667,diag,diag,diag,diag,diag,diag,diag,diag,2,5,15,26,2700.0,3.0,"0.1740,0.2120,0.2390,0.2770,0.1790","{""1"": 5, ""2"": 5, ""3"": 5, ""5"": 5}",6244.327112167151,5129.581031401981,-4597.960526339597,2455.966240817424,6046.608478785107,2138.4496156059845,-4563.439306930354,10724130.460028483,-12350.816121871816,-31694.04998471299,-4.996262799394262,0.7312751857535857,0.2238737356437969
