组,alpha,seed,n_initiated,n_ep,init_per_ep,CRH_T,ACD_T,ACD_T_p25,ACD_T_p50,ACD_T_p75,expire_rate_T,CRH_Teval,ACD_Teval,ACD_Teval_p25,ACD_Teval_p50,ACD_Teval_p75,expire_rate_Teval,expire_rate_uncond,LSR,slack_mean,late_share_y0,late_share_late,late_share_later,n_init_early,late_share_y0_years,cap_early_quota,cap_early_money,early_fill,early_binding,CRH_T_early,slack_mean_early,LSR_floor,LSR_excess,spend_ratio,idle_ratio,clipped_ratio,residual_ratio,released_ratio,decomp_sum,标量回报
ablation,0.0,0,220,5,44.0,0.2903366044634958,8.360061899796458,7.0,8.0,9.0,0.19378390238762674,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6818181818181818,-2.4212433891730907,5.0,0.6818181818181818,0.6136363636363636,14.0,5.0,15.0,14.939637826961771,0.9371043771043771,资金,0.6922465643138439,2.7410942731645704,0.6604627766599598,0.021355405158221985,0.9817283950617284,0.018271604938271624,0.0,0.08493827160493828,0.0,1.0666666666666667,1.1925130983381387
ablation,0.0,1,225,5,45.0,0.2995731920232682,8.374459111200308,7.0,8.0,9.0,0.19601130356449606,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6666666666666666,-2.330334298264,5.0,0.6666666666666666,0.6,15.0,5.0,15.0,15.68956611570248,1.0,配额,0.6931623296698048,2.6696657017359993,0.6666666666666667,-1.1102230246251565e-16,0.9560493827160493,0.043950617283950666,0.0,0.11061728395061729,0.0,1.0666666666666667,1.1640118202019232
ablation,0.0,2,220,5,44.0,0.29033660446349585,8.360061899796456,7.0,8.0,9.0,0.19378390238762674,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6818181818181818,-2.466697934627636,5.0,0.6818181818181818,0.6136363636363636,14.0,5.0,15.0,14.831460674157302,0.943939393939394,资金,0.6922465643138439,2.598237130307427,0.6629213483146068,0.01889683350357496,0.9888888888888889,0.011111111111111072,0.0,0.07777777777777778,0.0,1.0666666666666667,1.1685088145700182
ablation,0.0,3,220,5,44.0,0.30638167366016067,8.374459111200308,7.0,8.0,9.0,0.2004661059182346,0.7059830446532561,8.634977618257025,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6590909090909091,-2.193970661900364,5.0,0.6590909090909091,0.5909090909090909,15.0,5.0,15.0,14.732142857142858,1.018181818181818,资金,0.6931623296698048,2.6696657017359993,0.6651785714285714,-0.006087662337662336,0.9955555555555555,0.004444444444444473,0.0,0.07111111111111111,0.0,1.0666666666666667,1.171457708664898
ablation,0.0,4,195,5,39.0,0.2755967653847323,8.380331228830753,7.0,8.0,9.0,0.18093351098261173,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6923076923076923,-2.766231734161436,5.0,0.6923076923076923,0.6410256410256411,12.0,5.0,15.0,13.006422924901186,0.9226210826210827,资金,0.69529911550038,2.5863323684026653,0.666501976284585,0.025805716023107328,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,1.1695256028453143
ablation,0.15,0,210,5,42.0,0.3041621570569957,8.360061899796456,7.0,8.0,9.0,0.203011707263228,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6666666666666666,-2.187477155406857,5.0,0.6666666666666666,0.5952380952380952,14.0,5.0,15.0,14.118525896414344,0.9916049382716049,资金,0.6922465643138439,2.526808558878856,0.6638446215139442,0.002822045152722441,0.9916049382716049,0.008395061728395103,0.0,0.07506172839506173,0.0,1.0666666666666667,0.9108786770052273
ablation,0.15,1,210,5,42.0,0.3209712771677874,8.374459111200306,7.0,8.0,9.0,0.203011707263228,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6428571428571429,-2.0446200125497143,5.0,0.6428571428571429,0.5714285714285714,15.0,5.0,15.0,14.00691699604743,1.070899470899471,资金,0.6931623296698048,2.6696657017359993,0.666501976284585,-0.023644833427442058,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,0.8838897874250715
ablation,0.15,2,160,5,32.0,0.30291183766722823,8.393433448978836,7.0,8.0,9.0,0.19294862694630077,0.705983044653256,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.65625,-2.2990842982640003,5.0,0.65625,0.59375,11.0,5.0,15.0,10.671936758893281,1.0307407407407407,资金,0.6943278492137549,2.76057479264509,0.666501976284585,-0.010251976284584963,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,0.9201232058312943
ablation,0.15,3,205,5,41.0,0.31649071729383105,8.39044367683368,7.0,8.0,9.0,0.2007920670660691,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6341463414634146,-2.0864318592396103,5.0,0.6341463414634146,0.5853658536585366,15.0,5.0,15.0,13.666666666666668,1.097560975609756,资金,0.6931623296698048,2.6696657017359993,0.6666666666666666,-0.03252032520325199,1.0,0.0,0.0,0.06666666666666667,0.0,1.0666666666666667,0.8926248019894505
ablation,0.15,4,155,5,31.0,0.3126831872693969,8.393433448978836,7.0,8.0,9.0,0.19917277620263305,0.705983044653256,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6451612903225806,-2.136785911167226,5.0,0.6451612903225806,0.5806451612903226,11.0,5.0,15.0,10.358910891089108,1.0618876941457587,资金,0.6943278492137549,2.76057479264509,0.6658415841584159,-0.02068029383583525,0.9975308641975309,0.0024691358024691024,0.0,0.0691358024691358,0.0,1.0666666666666667,0.8883947392971105
ablation,0.3,0,225,5,45.0,0.29957319202326826,8.374459111200306,7.0,8.0,9.0,0.19601130356449606,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6666666666666666,-2.330334298264,5.0,0.6666666666666666,0.6,15.0,5.0,15.0,17.721703617269544,1.0,配额,0.6931623296698048,2.6696657017359993,0.6666666666666667,-1.1102230246251565e-16,0.8464197530864197,0.1535802469135803,0.020246913580246915,0.2,0.0,1.0666666666666667,0.6211593361471502
ablation,0.3,1,215,5,43.0,0.30538794514062956,8.397664682090545,7.0,8.0,9.0,0.1914529011560194,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.294016955346744,0.29401695534674405,0.6511627906976745,-2.3070784843105114,5.0,0.6511627906976745,0.5813953488372093,15.0,5.0,15.0,14.33687330204989,1.04625322997416,资金,0.6931623296698048,2.6696657017359993,0.6665843418127932,-0.015421551115118781,0.9997530864197531,0.0002469135802468658,0.0,0.06691358024691359,0.0,1.0666666666666667,0.6384383389385908
ablation,0.3,2,200,5,40.0,0.3067534091098454,8.376374003004457,7.0,8.0,9.0,0.1984614448590523,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.65,-2.2053342982640003,5.0,0.65,0.6,14.0,5.0,15.0,13.333333333333334,1.05,资金,0.6922465643138439,2.669665701735999,0.6666666666666666,-0.016666666666666607,1.0,0.0,0.0,0.06666666666666667,0.0,1.0666666666666667,0.6465258954121904
ablation,0.3,3,210,5,42.0,0.3089552240249303,8.39044367683368,7.0,8.0,9.0,0.19601130356449603,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6428571428571429,-2.2112866792163812,5.0,0.6428571428571429,0.5952380952380952,15.0,5.0,15.0,14.003457643862681,1.0711640211640212,资金,0.6931623296698048,2.6696657017359993,0.6665843418127932,-0.02372719895565034,0.9997530864197531,0.0002469135802468658,0.0,0.06691358024691359,0.0,1.0666666666666667,0.6338082940121114
ablation,0.3,4,160,5,32.0,0.3029118376672283,8.393433448978836,7.0,8.0,9.0,0.20213665680088652,0.705983044653256,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.65625,-2.2053342982640003,5.0,0.65625,0.59375,11.0,5.0,15.0,10.671936758893281,1.0307407407407407,资金,0.694327849213755,2.76057479264509,0.666501976284585,-0.010251976284584963,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,0.6459382448152857
ablation,0.5,0,210,5,42.0,0.30481236688207314,8.409341891421345,7.0,8.0,9.0,0.19601130356449603,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6428571428571429,-2.235096203025905,5.0,0.6428571428571429,0.5952380952380952,15.0,5.0,15.0,14.020771513353115,1.06984126984127,资金,0.6931623296698048,2.6696657017359993,0.6661721068249258,-0.023314963967782876,0.9985185185185185,0.001481481481481528,0.0,0.06814814814814815,0.0,1.0666666666666667,0.47338458231928404
ablation,0.5,1,210,5,42.0,0.312659086691597,8.397664682090545,7.0,8.0,9.0,0.203011707263228,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6428571428571429,-2.1398581077878096,5.0,0.6428571428571429,0.5714285714285714,15.0,5.0,15.0,14.020771513353115,1.06984126984127,资金,0.6931623296698048,2.6696657017359993,0.6661721068249258,-0.023314963967782876,0.9985185185185185,0.001481481481481528,0.0,0.06814814814814815,0.0,1.0666666666666667,0.47281864115988836
ablation,0.5,2,190,5,38.0,0.2898350659759817,8.352029224055967,7.0,8.0,9.0,0.20116949576356172,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6842105263157895,-2.4619132456324215,5.0,0.6842105263157895,0.6052631578947368,12.0,5.0,15.0,12.67292490118577,0.9469005847953217,资金,0.689957150923942,2.502999035069332,0.666501976284585,0.01770855003120453,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,0.3785738605856426
ablation,0.5,3,225,5,45.0,0.29957319202326826,8.374459111200304,7.0,8.0,9.0,0.19601130356449606,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6666666666666666,-2.330334298264,5.0,0.6666666666666666,0.6,15.0,5.0,15.0,15.014829461196245,1.0,配额,0.6931623296698048,2.6696657017359993,0.6666666666666667,-1.1102230246251565e-16,0.9990123456790123,0.0009876543209876854,0.0,0.06765432098765432,0.0,1.0666666666666667,0.41163372313312213
ablation,0.5,4,160,5,32.0,0.30291183766722823,8.393433448978838,7.0,8.0,9.0,0.19294862694630077,0.705983044653256,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.65625,-2.3928342982640003,5.0,0.65625,0.59375,11.0,5.0,15.0,10.67457375833951,1.0304861111111112,资金,0.694327849213755,2.578756610826908,0.6664195700518902,-0.010169570051890231,0.9992592592592593,0.0007407407407407085,0.0,0.0674074074074074,0.0,1.0666666666666667,0.37168111917677626
ablation,0.7,0,190,5,38.0,0.3183193780103636,8.39617281059956,7.0,8.0,9.0,0.19343220746496312,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.631578947368421,-2.172439561421895,5.0,0.631578947368421,0.5789473684210527,14.0,5.0,15.0,12.704309063893017,1.1019883040935672,资金,0.692246564313844,2.7410942731645704,0.6656760772659732,-0.0340971298975522,0.997037037037037,0.002962962962962945,0.0,0.06962962962962962,0.0,1.0666666666666667,0.4920107145071902
ablation,0.7,1,205,5,41.0,0.32028491807431886,8.397664682090545,7.0,8.0,9.0,0.19362092181370955,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6341463414634146,-2.1352123470444884,5.0,0.6341463414634146,0.5609756097560976,15.0,5.0,15.0,13.666666666666668,1.097560975609756,资金,0.6931623296698048,2.6696657017359993,0.6666666666666666,-0.03252032520325199,1.0,0.0,0.0,0.06666666666666667,0.0,1.0666666666666667,0.4548571892833807
ablation,0.7,2,210,5,42.0,0.3089552240249303,8.39044367683368,7.0,8.0,9.0,0.18901089986576408,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6428571428571429,-2.306524774454476,5.0,0.6428571428571429,0.5952380952380952,15.0,5.0,15.0,14.0,1.0714285714285714,资金,0.6931623296698048,2.6696657017359993,0.6666666666666667,-0.023809523809523836,1.0,0.0,0.0,0.06666666666666667,0.0,1.0666666666666667,0.46488414028172365
ablation,0.7,3,205,5,41.0,0.31649071729383105,8.39044367683368,7.0,8.0,9.0,0.2007920670660691,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6341463414634146,-2.1352123470444884,5.0,0.6341463414634146,0.5853658536585366,15.0,5.0,15.0,13.673418972332016,1.097018970189702,资金,0.6931623296698048,2.6696657017359993,0.666501976284585,-0.03235563482117032,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,0.474090351405647
ablation,0.7,4,195,5,39.0,0.32309770759984147,8.378842498770961,7.0,8.0,9.0,0.19601130356449603,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6410256410256411,-2.0995650674947695,5.0,0.6410256410256411,0.5641025641025641,14.0,5.0,15.0,12.999999999999998,1.076923076923077,资金,0.6922465643138439,2.669665701735999,0.6666666666666667,-0.02564102564102566,1.0,0.0,0.0,0.06666666666666667,0.0,1.0666666666666667,0.4836117150764208
ablation,0.85,0,185,5,37.0,0.30957451066642744,8.396026357285656,7.0,8.0,9.0,0.1907137007654556,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6486486486486487,-2.303307271236973,5.0,0.6486486486486487,0.5945945945945946,13.0,5.0,15.0,12.336379352926649,1.0537937937937938,资金,0.6961209562044475,2.6696657017359993,0.6665843418127932,-0.01793569316414456,0.9997530864197531,0.0002469135802468658,0.0,0.06691358024691359,0.0,1.0666666666666667,0.6426677973770614
ablation,0.85,1,210,5,42.0,0.3089552240249303,8.39044367683368,7.0,8.0,9.0,0.203011707263228,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6428571428571429,-2.1636676315973333,5.0,0.6428571428571429,0.5952380952380952,15.0,5.0,15.0,14.0,1.0714285714285714,资金,0.6931623296698048,2.6696657017359993,0.6666666666666667,-0.023809523809523836,1.0,0.0,0.0,0.06666666666666667,0.0,1.0666666666666667,0.6393386174321977
ablation,0.85,2,225,5,45.0,0.29957319202326826,8.374459111200306,7.0,8.0,9.0,0.19601130356449606,0.705983044653256,8.634977618257025,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.6666666666666666,-2.330334298264,5.0,0.6666666666666666,0.6,15.0,5.0,15.0,15.011119347664936,1.0,配额,0.6931623296698048,2.6696657017359993,0.6666666666666667,-1.1102230246251565e-16,0.9992592592592593,0.0007407407407407085,0.0,0.0674074074074074,0.0,1.0666666666666667,0.6427612276806878
ablation,0.85,3,200,5,40.0,0.29802560910984544,8.40199232837665,7.0,8.0,9.0,0.1984614448590523,0.7059830446532561,8.634977618257023,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.65,-2.305334298264,5.0,0.65,0.6,14.0,5.0,15.0,13.339920948616601,1.0494814814814815,资金,0.6922465643138439,2.669665701735999,0.666501976284585,-0.01650197628458494,0.9995061728395062,0.0004938271604938427,0.0,0.0671604938271605,0.0,1.0666666666666667,0.5975894974776669
ablation,0.85,4,190,5,38.0,0.322413120957732,8.403839723443227,7.0,8.0,9.0,0.19343220746496312,0.7059830446532559,8.634977618257027,8.0,9.0,10.0,0.29401695534674405,0.29401695534674405,0.631578947368421,-2.146123771948211,5.0,0.631578947368421,0.5526315789473685,14.0,5.0,15.0,12.669795011113854,1.1049902534113063,资金,0.6922465643138439,2.526808558878856,0.6665843418127932,-0.03500539444437223,0.9997530864197531,0.0002469135802468658,0.0,0.06691358024691359,0.0,1.0666666666666667,0.603430649936123
