组,alpha,RL回报,RL标准差,最强基线,基线策略,差,Eco,Gdp,Emp,Floor,Cost,Disrupt,Expire,立项数,停手率,空转年,花钱比
base,0.0,0.623648966884157,0.02630799899692772,0.5080631938858161,生态定向,0.11558577299834094,2143.2498888332025,-191.63893228963985,-293.4582769855224,2091974.7784510055,-2367.552729027045,-1852.361344839747,-2.5483688236299527,24.48,0.8586666666666666,0.0,0.9982074074074074
base,0.15,0.45756641996043623,0.09414493007557193,0.4239262770373524,生态定向,0.033640142923083816,1809.1592399175752,102.97809531920925,-167.25226860473487,1875804.6686160252,-2185.843180170641,-6188.363130559527,-3.008428103003708,26.559999999999995,0.712,0.0,0.9733925925925926
base,0.3,0.47979855244432706,0.1467770132671139,0.3476771961434322,生态定向,0.1321213563008949,1601.1528090491315,469.8136931336576,93.98449232513556,2022035.0577406026,-2295.674267787429,-5672.10147717014,-3.1022388811353023,25.360000000000003,0.8053333333333332,0.0,0.9974666666666666
base,0.5,0.46963599395974837,0.17018126015531285,0.36982001703906714,就业定向,0.09981597692068123,705.0076644832243,1548.3950530775771,619.1770396994193,1863068.6925162082,-2193.742668331957,-11834.119487078344,-2.905565290811361,24.92,0.8026666666666668,0.0,0.9989629629629629
base,0.7,0.5559153667097834,0.1122830160042956,0.48671661571907077,就业定向,0.0691987509907126,0.0,2531.360645376392,1283.118674084047,1915160.8198723334,-2208.584890582293,-22723.309954100925,-2.485611437092068,23.72,0.9093333333333333,0.0,0.9978666666666666
base,0.85,0.5372377659821327,0.14873676990437712,0.5662063028214732,就业定向,-0.02896853683934053,0.0,2491.5499497339647,1257.730336043873,1894574.927834689,-2076.558167262183,-30363.40700255084,-4.676981942306877,35.92,0.40800000000000003,0.0,0.9179555555555556
base,1.0,0.6186071424195868,0.03744688063557969,0.6395813986083061,就业定向,-0.020974256188719287,0.0,2610.102607294363,1322.255447885492,1970160.617349383,-2258.049687953785,-23158.250577520186,-2.7365590363047554,25.560000000000002,0.784,0.0,0.9980148148148148
cool0,0.0,0.5936754575902338,0.06495518246706064,0.5095785970268758,生态定向,0.08409686056335797,2024.1310255128446,-170.5263050626327,-262.9214062152383,1979935.7706523384,-2246.3020700686275,-3802.6076100552077,-3.1891088343481684,25.24,0.808,0.4,0.9966518518518518
cool0,0.15,0.48777854189305536,0.029885881559146604,0.4252561768786698,生态定向,0.06252236501438557,1785.2165087412577,104.80912630695005,-169.64212304472977,1881605.8421283946,-2206.161655193996,-1500.0358026239596,-3.077600534295843,22.72,0.8346666666666668,0.0,0.9974814814814815
cool0,0.3,0.25157170818670793,0.17416780129044593,0.3488389836193583,生态定向,-0.09726727543265035,1268.0671186917707,-131.2017213297695,-174.8545104406877,1241446.0796247716,-1411.9791534560404,-2068.1477679278005,-1.4702897286306544,14.88,0.9333333333333332,4.6,0.7267259259259259
cool0,0.5,0.4104084688419304,0.17569732669285273,0.36664362166352615,就业定向,0.04376484717840423,1062.8706034786585,1220.5330522162824,409.5290812360098,1910284.6003268536,-2279.959257116522,-10895.08448765469,-3.134166422869396,27.160000000000004,0.7626666666666666,0.0,0.9962370370370369
cool0,0.7,0.5514702253342793,0.15568135172772396,0.4836560509683754,就业定向,0.06781417436590387,0.0,2494.833604055805,1264.5806760488802,1894057.8931641653,-2166.477513824014,-21860.185801914446,-2.446985287330034,22.240000000000002,0.9039999999999999,0.0,0.9828296296296296
cool0,0.85,0.45700133405255394,0.13572126327236472,0.5632245028956728,就业定向,-0.10622316884311889,0.0,2137.5039661763067,1079.6409384576466,1618360.28489196,-1852.0888591400958,-22920.562627411753,-2.9608992448255744,27.439999999999998,0.7413333333333333,0.0,0.9456
cool0,1.0,0.5399820016972627,0.131155089972143,0.6366723046747165,就业定向,-0.09669030297745373,0.0,2355.0618485731197,1187.474524164588,1769337.0410052366,-2031.6370339215507,-27890.247379953486,-3.302420755481459,30.8,0.5866666666666667,0.0,0.922074074074074
cool1,0.0,0.5936754575902339,0.06495518246706064,0.5095785970268758,生态定向,0.08409686056335808,2024.1310255128442,-170.52630506263267,-262.9214062152382,1979935.7706523384,-2246.3020700686275,-3802.6076100552077,-3.1891088343481684,25.24,0.808,0.4,0.9966518518518518
cool1,0.15,0.48777854189305536,0.029885881559146604,0.4252561768786698,生态定向,0.06252236501438557,1785.2165087412582,104.80912630695006,-169.64212304472977,1881605.8421283942,-2206.161655193996,-1500.0358026239596,-3.0776005342958426,22.72,0.8346666666666668,0.0,0.9974814814814815
cool1,0.3,0.251571708186708,0.17416780129044593,0.3488389836193583,生态定向,-0.09726727543265029,1268.0671186917707,-131.2017213297695,-174.8545104406877,1241446.0796247716,-1411.9791534560404,-2068.1477679278005,-1.4702897286306544,14.88,0.9333333333333332,4.6,0.7267259259259259
