alpha,指标,G0均值,G10均值,配对差均值,同号种子,逐种子差
0.0,立项数,22.8,22.8,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.0,均年,6.707,6.707,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.0,中位年,6.6,6.6,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.0,前段份额,0.362,0.362,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.15,立项数,21.0,22.8,1.8,2/5,"[np.float64(22.0), np.float64(-15.0), np.float64(4.0), np.float64(-2.0), np.float64(0.0)]"
0.15,均年,6.892,7.04,0.148,2/5,"[np.float64(-0.11), np.float64(0.8), np.float64(0.66), np.float64(-0.47), np.float64(-0.14)]"
0.15,中位年,6.8,7.1,0.3,2/5,"[np.float64(0.0), np.float64(1.5), np.float64(1.0), np.float64(-1.0), np.float64(0.0)]"
0.15,前段份额,0.357,0.342,-0.014,2/5,"[np.float64(0.02), np.float64(-0.07), np.float64(-0.06), np.float64(0.04), np.float64(0.0)]"
0.3,立项数,24.6,24.8,0.2,3/5,"[np.float64(9.0), np.float64(8.0), np.float64(5.0), np.float64(-5.0), np.float64(-16.0)]"
0.3,均年,6.989,6.904,-0.084,2/5,"[np.float64(0.0), np.float64(0.13), np.float64(1.04), np.float64(-1.3), np.float64(-0.3)]"
0.3,中位年,7.1,6.6,-0.5,3/5,"[np.float64(-0.5), np.float64(0.0), np.float64(1.5), np.float64(-2.5), np.float64(-1.0)]"
0.3,前段份额,0.33,0.331,0.001,3/5,"[np.float64(0.01), np.float64(-0.03), np.float64(-0.08), np.float64(0.08), np.float64(0.02)]"
0.5,立项数,23.2,33.6,10.4,5/5,"[np.float64(22.0), np.float64(10.0), np.float64(4.0), np.float64(5.0), np.float64(11.0)]"
0.5,均年,7.477,6.528,-0.949,5/5,"[np.float64(-0.22), np.float64(-1.22), np.float64(-0.56), np.float64(-2.17), np.float64(-0.58)]"
0.5,中位年,7.5,6.4,-1.1,3/5,"[np.float64(0.0), np.float64(-1.0), np.float64(0.0), np.float64(-3.5), np.float64(-1.0)]"
0.5,前段份额,0.302,0.368,0.067,3/5,"[np.float64(-0.01), np.float64(0.12), np.float64(0.04), np.float64(0.2), np.float64(-0.01)]"
