alpha,指标,G0,G10锁,配对差,同号,逐种子差
0.0,立项数,22.8,22.8,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.0,均年,6.707,6.707,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.0,中位年,6.6,6.6,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.0,前段份额,0.362,0.362,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.0,期内可交付,0.764,0.764,0.0,5/5,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]"
0.15,立项数,21.0,22.8,1.8,2/5,"[np.float64(22.0), np.float64(-15.0), np.float64(4.0), np.float64(-2.0), np.float64(0.0)]"
0.15,均年,6.892,7.04,0.148,2/5,"[np.float64(-0.11), np.float64(0.8), np.float64(0.66), np.float64(-0.47), np.float64(-0.14)]"
0.15,中位年,6.8,7.1,0.3,2/5,"[np.float64(0.0), np.float64(1.5), np.float64(1.0), np.float64(-1.0), np.float64(0.0)]"
0.15,前段份额,0.357,0.342,-0.014,2/5,"[np.float64(0.02), np.float64(-0.07), np.float64(-0.06), np.float64(0.04), np.float64(0.0)]"
0.15,期内可交付,0.742,0.73,-0.012,3/5,"[np.float64(-0.0), np.float64(-0.04), np.float64(-0.04), np.float64(0.03), np.float64(0.0)]"
0.3,立项数,24.6,24.8,0.2,3/5,"[np.float64(9.0), np.float64(8.0), np.float64(5.0), np.float64(-5.0), np.float64(-16.0)]"
0.3,均年,6.989,6.904,-0.084,2/5,"[np.float64(0.0), np.float64(0.13), np.float64(1.04), np.float64(-1.3), np.float64(-0.3)]"
0.3,中位年,7.1,6.6,-0.5,3/5,"[np.float64(-0.5), np.float64(0.0), np.float64(1.5), np.float64(-2.5), np.float64(-1.0)]"
0.3,前段份额,0.33,0.331,0.001,3/5,"[np.float64(0.01), np.float64(-0.03), np.float64(-0.08), np.float64(0.08), np.float64(0.02)]"
0.3,期内可交付,0.734,0.762,0.028,4/5,"[np.float64(0.01), np.float64(0.05), np.float64(-0.11), np.float64(0.13), np.float64(0.06)]"
0.5,立项数,23.2,33.6,10.4,5/5,"[np.float64(22.0), np.float64(10.0), np.float64(4.0), np.float64(5.0), np.float64(11.0)]"
0.5,均年,7.477,6.528,-0.949,5/5,"[np.float64(-0.22), np.float64(-1.22), np.float64(-0.56), np.float64(-2.17), np.float64(-0.58)]"
0.5,中位年,7.5,6.4,-1.1,3/5,"[np.float64(0.0), np.float64(-1.0), np.float64(0.0), np.float64(-3.5), np.float64(-1.0)]"
0.5,前段份额,0.302,0.368,0.067,3/5,"[np.float64(-0.01), np.float64(0.12), np.float64(0.04), np.float64(0.2), np.float64(-0.01)]"
0.5,期内可交付,0.674,0.779,0.105,5/5,"[np.float64(0.08), np.float64(0.08), np.float64(0.05), np.float64(0.17), np.float64(0.15)]"
0.7,立项数,25.8,35.8,10.0,4/5,"[np.float64(5.0), np.float64(0.0), np.float64(10.0), np.float64(25.0), np.float64(10.0)]"
0.7,均年,7.042,6.954,-0.087,3/5,"[np.float64(0.84), np.float64(-0.54), np.float64(-0.97), np.float64(-0.35), np.float64(0.58)]"
0.7,中位年,7.2,7.0,-0.2,3/5,"[np.float64(1.0), np.float64(-1.0), np.float64(-1.5), np.float64(-0.5), np.float64(1.0)]"
0.7,前段份额,0.312,0.337,0.025,3/5,"[np.float64(-0.04), np.float64(0.12), np.float64(0.09), np.float64(0.03), np.float64(-0.07)]"
0.7,期内可交付,0.75,0.736,-0.015,4/5,"[np.float64(-0.1), np.float64(-0.04), np.float64(0.11), np.float64(-0.02), np.float64(-0.03)]"
0.85,立项数,24.8,23.8,-1.0,3/5,"[np.float64(-2.0), np.float64(6.0), np.float64(21.0), np.float64(-17.0), np.float64(-13.0)]"
0.85,均年,7.858,5.251,-2.607,4/5,"[np.float64(0.04), np.float64(-0.65), np.float64(-1.0), np.float64(-5.5), np.float64(-5.93)]"
0.85,中位年,8.4,5.4,-3.0,4/5,"[np.float64(0.5), np.float64(-1.0), np.float64(-1.5), np.float64(-6.0), np.float64(-7.0)]"
0.85,前段份额,0.242,0.564,0.322,5/5,"[np.float64(0.02), np.float64(0.07), np.float64(0.08), np.float64(0.75), np.float64(0.68)]"
0.85,期内可交付,0.673,0.829,0.156,5/5,"[np.float64(0.02), np.float64(0.06), np.float64(0.11), np.float64(0.25), np.float64(0.35)]"
1.0,立项数,29.2,25.4,-3.8,4/5,"[np.float64(-22.0), np.float64(-1.0), np.float64(-5.0), np.float64(19.0), np.float64(-10.0)]"
1.0,均年,7.396,7.237,,0/5,"[np.float64(nan), np.float64(0.88), np.float64(0.38), np.float64(-0.27), np.float64(-1.2)]"
1.0,中位年,7.2,7.5,,0/5,"[np.float64(nan), np.float64(3.0), np.float64(0.5), np.float64(0.0), np.float64(-1.5)]"
1.0,前段份额,0.301,0.295,,0/5,"[np.float64(nan), np.float64(-0.16), np.float64(-0.06), np.float64(0.03), np.float64(0.1)]"
1.0,期内可交付,0.688,0.721,,0/5,"[np.float64(nan), np.float64(-0.01), np.float64(-0.01), np.float64(0.08), np.float64(0.07)]"
