臂,alpha,n,立项数,立项数同号,均年,均年同号,可交付,可交付同号,盲区,盲区同号
lockden,0.0,5,0.0,0/5,0.0,0/5,0.0,0/5,0.0,0/5
lockden,0.15,5,1.8,2/5,0.148,3/5,-0.028,3/5,0.023,3/5
lockden,0.3,5,0.2,3/5,-0.084,3/5,0.007,3/5,-0.02,3/5
lockden,0.5,5,10.4,5/5,-0.949,5/5,0.075,4/5,-0.092,5/5
lockden,0.7,5,10.0,4/5,-0.087,3/5,0.014,3/5,-0.014,3/5
lockden,0.85,5,-1.0,3/5,-2.607,4/5,0.282,4/5,-0.25,4/5
lockden,1.0,5,-3.8,4/5,-0.053,2/5,-0.022,2/5,0.015,3/5
ownden,0.0,5,2.8,3/5,-0.633,3/5,0.075,3/5,-0.084,3/5
ownden,0.15,5,8.2,5/5,0.338,3/5,-0.046,3/5,0.04,4/5
ownden,0.3,5,-1.8,2/5,-0.278,4/5,0.02,3/5,-0.033,3/5
ownden,0.5,5,3.2,4/5,0.137,3/5,-0.027,3/5,0.027,3/5
ownden,0.7,5,-1.0,3/5,-1.049,4/5,0.155,4/5,-0.114,4/5
ownden,0.85,5,4.6,4/5,-0.491,4/5,0.04,3/5,-0.038,4/5
ownden,1.0,5,-5.4,3/5,-0.379,3/5,0.037,3/5,-0.018,3/5
