tau,立项年,建成年
1,0,7.0
1,1,8.0
1,2,9.0
1,3,10.0
1,4,11.0
1,5,12.0
1,6,13.0
1,7,14.0
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,14,
2,0,8.0
2,1,9.0
2,2,10.0
2,3,11.0
2,4,12.0
2,5,13.0
2,6,14.0
2,7,
2,8,
2,9,
2,10,
2,11,
2,12,
2,13,
2,14,
3,0,9.0
3,1,10.0
3,2,11.0
3,3,12.0
3,4,13.0
3,5,14.0
3,6,
3,7,
3,8,
3,9,
3,10,
3,11,
3,12,
3,13,
3,14,
4,0,10.0
4,1,11.0
4,2,12.0
4,3,13.0
4,4,14.0
4,5,
4,6,
4,7,
4,8,
4,9,
4,10,
4,11,
4,12,
4,13,
4,14,
5,0,11.0
5,1,12.0
5,2,13.0
5,3,14.0
5,4,
5,5,
5,6,
5,7,
5,8,
5,9,
5,10,
5,11,
5,12,
5,13,
5,14,
