alpha,seed,立项数,均年,E可交付数,可交付率_概率,立项数_中位,均年_中位,立项数_乐观,均年_乐观,盲区率,成本,成本_中位,组
0.15,0,15.0,7.0,4.493597880349024,0.29957319202326826,6.0,2.5,8.0,3.5,0.4666666666666667,13360.0,5360.0,base
0.15,1,33.0,5.757575757575758,12.95768164104707,0.39265701942566883,18.0,2.5,22.0,3.227272727272727,0.3333333333333333,13500.0,5400.0,base
0.15,2,19.0,6.947368421052632,6.015460394738279,0.31660317867043575,8.0,2.625,11.0,3.727272727272727,0.42105263157894735,13480.0,5380.0,base
0.15,3,17.0,7.470588235294118,4.493597880349023,0.2643292870793543,6.0,2.5,8.0,3.5,0.5294117647058824,13460.0,5360.0,base
0.15,4,21.0,7.285714285714286,6.015460394738279,0.2864504949875371,8.0,2.625,11.0,3.727272727272727,0.47619047619047616,13500.0,5380.0,base
0.3,0,16.0,6.875,4.9982721123490235,0.31239200702181397,7.0,2.857142857142857,9.0,3.6666666666666665,0.4375,13500.0,5400.0,base
0.3,1,15.0,7.0,4.493597880349024,0.29957319202326826,6.0,2.5,8.0,3.5,0.4666666666666667,13500.0,5400.0,base
0.3,2,34.0,6.0588235294117645,12.251698596393817,0.36034407636452404,17.0,2.588235294117647,21.0,3.3333333333333335,0.38235294117647056,13480.0,5380.0,base
0.3,3,20.0,8.3,4.493597880349023,0.22467989401745117,6.0,2.5,8.0,3.5,0.6,13480.0,5360.0,base
0.3,4,38.0,6.7105263157894735,11.628256894657815,0.306006760385732,15.0,2.2,21.0,3.4285714285714284,0.4473684210526316,13470.0,5360.0,base
0.5,0,23.0,7.217391304347826,6.896555439391537,0.2998502364952842,9.0,2.2222222222222223,12.0,3.25,0.4782608695652174,13490.0,5370.0,base
0.5,1,23.0,7.130434782608695,6.4286759696555364,0.27950765085458856,8.0,2.125,12.0,3.5833333333333335,0.4782608695652174,13500.0,5370.0,base
0.5,2,23.0,8.0,5.0167098803490235,0.21811782088474016,6.0,2.5,10.0,4.1,0.5652173913043478,13470.0,5390.0,base
0.5,3,22.0,7.318181818181818,6.254675969655536,0.28430345316616074,8.0,2.5,11.0,3.5454545454545454,0.5,13460.0,5380.0,base
0.5,4,25.0,7.72,6.896555439391536,0.27586221757566143,9.0,2.2222222222222223,12.0,3.25,0.52,13480.0,5370.0,base
0.7,0,39.0,6.0,13.480793641047075,0.34566137541146347,18.0,2.5,24.0,3.5,0.38461538461538464,9760.0,2440.0,base
0.7,1,26.0,7.5,6.8508088587382785,0.26349264841301073,10.0,2.9,12.0,3.5,0.5384615384615384,13500.0,5400.0,base
0.7,2,24.0,8.208333333333334,5.0167098803490235,0.20902957834787597,6.0,2.5,10.0,4.1,0.5833333333333334,13500.0,5390.0,base
0.7,3,20.0,7.35,5.37358092500228,0.26867904625011396,7.0,2.5714285714285716,10.0,3.8,0.5,13470.0,5390.0,base
0.7,4,20.0,6.15,7.070555439391535,0.35352777196957674,9.0,2.2222222222222223,13.0,3.5384615384615383,0.35,13500.0,5370.0,base
0.85,0,26.0,7.5,7.108462201655536,0.27340239237136676,9.0,2.4444444444444446,13.0,3.6153846153846154,0.5,13500.0,5370.0,base
0.85,1,31.0,8.161290322580646,6.253563969655536,0.20172786998888825,8.0,2.0,12.0,3.5833333333333335,0.6129032258064516,13500.0,5370.0,base
0.85,2,24.0,8.0,6.053367157002279,0.25222363154176164,8.0,2.875,11.0,3.8181818181818183,0.5416666666666666,13490.0,5390.0,base
0.85,3,20.0,7.5,4.667597880349024,0.23337989401745118,6.0,2.5,9.0,3.888888888888889,0.55,13500.0,5310.0,base
0.85,4,23.0,8.130434782608695,5.0167098803490235,0.21811782088474016,6.0,2.5,10.0,4.1,0.5652173913043478,13490.0,5390.0,base
0.0,0,28.0,7.642857142857143,6.8692466267382795,0.24533023666922427,9.0,2.888888888888889,13.0,4.0,0.5357142857142857,13490.0,5360.0,base
0.0,1,15.0,7.0,4.493597880349024,0.29957319202326826,6.0,2.5,8.0,3.5,0.4666666666666667,13440.0,5360.0,base
0.0,2,20.0,5.55,8.023513103615304,0.4011756551807652,11.0,1.9090909090909092,13.0,2.6153846153846154,0.35,13360.0,5280.0,base
0.0,3,18.0,7.222222222222222,5.199580925002279,0.2888656069445711,7.0,2.2857142857142856,9.0,3.2222222222222223,0.5,13500.0,5400.0,base
0.0,4,33.0,6.121212121212121,11.564153319740559,0.35042888847698667,15.0,2.4,21.0,3.5714285714285716,0.36363636363636365,13400.0,5380.0,base
1.0,0,22.0,7.818181818181818,5.0167098803490235,0.22803226728859197,6.0,2.5,10.0,4.1,0.5454545454545454,13480.0,5390.0,base
1.0,1,23.0,6.391304347826087,8.464083760698049,0.36800364176948036,12.0,2.5,14.0,3.0714285714285716,0.391304347826087,13470.0,5360.0,base
1.0,2,45.0,7.0,13.480793641047072,0.29957319202326826,18.0,2.5,24.0,3.5,0.4666666666666667,11380.0,2280.0,base
1.0,3,26.0,7.269230769230769,7.5752296713915355,0.2913549873612129,10.0,2.5,14.0,3.642857142857143,0.46153846153846156,13460.0,5350.0,base
1.0,4,30.0,8.5,5.658589350085023,0.1886196450028341,7.0,2.7142857142857144,11.0,4.090909090909091,0.6333333333333333,13490.0,5400.0,base
0.15,0,37.0,6.891891891891892,11.105144894657816,0.300139051206968,15.0,2.3333333333333335,19.0,3.210526315789474,0.4864864864864865,13460.0,5360.0,g010_lockden
0.15,1,18.0,6.555555555555555,6.015460394738279,0.33419224415212667,8.0,2.625,11.0,3.727272727272727,0.3888888888888889,13430.0,5380.0,g010_lockden
0.15,2,23.0,7.608695652173913,6.015460394738279,0.26154175629296866,8.0,2.625,11.0,3.727272727272727,0.5217391304347826,13500.0,5380.0,g010_lockden
0.15,3,15.0,7.0,4.493597880349024,0.29957319202326826,6.0,2.5,8.0,3.5,0.4666666666666667,13440.0,5360.0,g010_lockden
0.15,4,21.0,7.142857142857143,6.015460394738279,0.2864504949875371,8.0,2.625,11.0,3.727272727272727,0.47619047619047616,13460.0,5380.0,g010_lockden
0.3,0,25.0,6.88,7.905903903391535,0.3162361561356614,11.0,3.090909090909091,14.0,3.7857142857142856,0.44,13490.0,5400.0,g010_lockden
0.3,1,23.0,7.130434782608695,6.189460394738279,0.269106973684273,8.0,2.625,12.0,4.0,0.4782608695652174,13500.0,5380.0,g010_lockden
0.3,2,39.0,7.102564102564102,11.54571555174056,0.2960439885061682,16.0,2.5625,20.0,3.35,0.48717948717948717,13500.0,5390.0,g010_lockden
0.3,3,15.0,7.0,4.493597880349024,0.29957319202326826,6.0,2.5,8.0,3.5,0.4666666666666667,13500.0,5400.0,g010_lockden
