alpha,n,立项数_中位,立项数_中位同号,均年_中位,均年_中位同号,E可交付数,E可交付数同号,立项数_乐观,立项数_乐观同号,臂
0.0,5,0.0,0/5,0.0,0/5,0.0,0/5,0.0,0/5,锁分母
0.15,5,-0.2,1/5,-0.008,1/5,-0.066,2/5,0.0,1/5,锁分母
0.3,5,0.0,2/5,0.227,3/5,-0.044,3/5,0.2,2/5,锁分母
0.5,5,6.4,5/5,0.209,4/5,4.574,5/5,8.0,5/5,锁分母
0.7,5,4.4,4/5,-0.016,2/5,3.226,4/5,5.6,4/5,锁分母
0.85,5,3.0,3/5,-0.076,3/5,1.857,3/5,2.2,2/5,锁分母
1.0,5,-1.4,3/5,-0.143,2/4,-1.014,4/5,-1.8,4/5,锁分母
0.0,5,2.2,4/5,-0.031,3/5,1.607,4/5,2.8,4/5,自身分母
0.15,5,1.4,3/5,0.012,2/5,1.284,3/5,2.8,3/5,自身分母
0.3,5,-0.6,2/5,-0.102,2/5,-0.308,3/5,-0.4,3/5,自身分母
0.5,5,1.0,3/5,0.04,2/5,0.548,3/5,0.8,3/5,自身分母
0.7,5,1.8,2/5,0.083,2/5,1.089,3/5,0.8,3/5,自身分母
0.85,5,3.0,3/5,0.067,2/5,2.188,4/5,3.6,4/5,自身分母
1.0,5,-1.0,2/5,-0.154,2/5,-0.851,3/5,-2.2,3/5,自身分母
