目标,G0_第2轮,G0.1_第2轮,固定包络
Gdp,2537.180175661,2537.180175661,2537.180175661
Eco,2015.6645521305422,1997.033625145356,2015.6645521305422
Res,1838.2228609295048,1838.2228609295048,1838.2228609295048
Emp,1280.0735024095145,1279.9192733017428,1280.0735024095145
Aec,3700.2433285247307,3800.4168221626433,3800.4168221626433
E2r,903.5122827793164,903.5122827793164,903.5122827793164
Cpt,2172.3824214627034,2291.441339775985,2291.441339775985
Floor,2339527.901720386,7557763.833327293,7557763.833327293
Cost,2412.9700185632346,2376.957978213094,2412.9700185632346
Disrupt,27105.09768684029,30559.319444198074,30559.319444198074
Expire,6.195605987759554,6.195605987759554,6.195605987759554
