arm,n_states,wa_pos_share,wa_mean,wa_median,wa_p90,wa_max,best_wait_mean,best_wait_0,best_wait_interior,best_wait_maxed,gain_best_median,T,T_eval
场全关（v16 口径）,10038,0.0,-0.050000000000000044,-0.050000000000000044,-0.04999999999999982,-0.04999999999999982,0.0,1.0,0.0,1.0,0.0,15,26
仅规划准入,10038,0.0,-0.03825337583143681,-0.04999999999999993,-0.007176329466917041,-0.003122971006781161,0.0,1.0,0.0,1.0,0.0,15,26
仅设施价值,10038,0.0,-0.043709745754390204,-0.04681883328326453,-0.03285791377893721,-0.023392024235406095,0.0,1.0,0.0,1.0,0.0,15,26
仅实施条件,10038,0.0,-0.040644625083265856,-0.039937365714096285,-0.035744597417609755,-0.035549840104461605,0.0,1.0,0.0,1.0,0.0,15,26
仅老化必要性,10038,0.0,-0.03928152011131027,-0.03816608015039319,-0.034790569109018274,-0.03464886025094105,0.0,1.0,0.0,1.0,0.0,15,26
v18 主组,10038,0.25263996812113965,-0.012472294104975419,-0.018011567199886225,0.024287945305267518,0.05078138207970517,0.971109782825264,0.7447698744769874,0.11825064753935047,0.13697947798366208,0.0,15,26
v18 主组×2 幅度,10038,0.5837816298067344,0.03456073065230952,0.010692553553882989,0.16980974268128748,0.24283555903952658,2.250946403666069,0.4074516836023112,0.27943813508667065,0.31311018131101814,0.014538840777828077,15,26
有限窗 主组幅度,10038,0.15301852958756723,-0.04829301533798079,-0.04445026286983028,0.03072399860746352,0.29838248699390224,0.5936441522215581,0.7948794580593743,0.15441322972703725,0.05070731221358837,0.0,15,26
有限窗 ×2 幅度,10038,0.24158198844391313,-0.016839248515130335,-0.04331244931695588,0.22887075822736194,1.6140878315109113,0.8840406455469217,0.7195656505279936,0.18808527595138474,0.09234907352062163,0.0,15,26
有限窗 ×3 幅度,4609,0.3211108700368844,0.3313525170956735,-0.045514458977698236,0.2949824270198732,484.79720577133037,0.7958342373616837,0.6600130180082447,0.29225428509438056,0.0477326968973747,0.0,15,26
场全关（v16 口径）,17208,0.0,-0.050000000000000044,-0.050000000000000044,-0.04999999999999993,-0.04999999999999982,0.0,1.0,0.0,1.0,0.0,25,36
仅规划准入,17208,0.0,-0.04181448025461399,-0.04999999999999993,-0.013909891433317332,-0.0031229709406948025,0.0,1.0,0.0,1.0,0.0,25,36
仅设施价值,17208,0.0,-0.04191915366024615,-0.04754531125964445,-0.02274065312601019,-0.019291322408615308,0.0,1.0,0.0,1.0,0.0,25,36
仅实施条件,17208,0.0,-0.04348416779917035,-0.04436138233100184,-0.03612539030327652,-0.03554984011861373,0.0,1.0,0.0,1.0,0.0,25,36
仅老化必要性,17208,0.0,-0.0412247298448696,-0.04084115163336094,-0.03493840634503185,-0.034648860218786104,0.0,1.0,0.0,1.0,0.0,25,36
v18 主组,17208,0.21216875871687588,-0.019276221303521787,-0.02402448745209118,0.015977889625202316,0.05929817480769306,0.903068340306834,0.7708042770804278,0.0958275220827522,0.13336820083682008,0.0,25,36
v18 主组×2 幅度,17208,0.4630404463040446,0.017914667479574875,-0.0058957945051543725,0.14497399022368565,0.2547365231609333,1.929741980474198,0.5275453277545328,0.173698279869828,0.2987563923756392,0.0,25,36
有限窗 主组幅度,17208,0.19490934449093444,-0.03931743692528886,-0.044554923602625085,0.03704158300279281,0.3823361066884392,0.8160158066015807,0.7517433751743375,0.16329614132961412,0.08496048349604834,0.0,25,36
有限窗 ×2 幅度,17208,0.26789865178986516,-0.015699536487053422,-0.04538548317826335,0.12917169949972873,1.9317574845467491,1.0665969316596933,0.698744769874477,0.1707345420734542,0.13052068805206882,0.0,25,36
有限窗 ×3 幅度,6801,0.30127922364358184,0.3240470697338037,-0.04731756551881183,0.2081597786012428,951.8680593546488,0.8895750624908102,0.6871048375238935,0.2296721070430819,0.08322305543302455,0.0,25,36
