arm,n_states,wa_pos_share,wa_mean,wa_median,wa_p90,wa_max,best_wait_mean,best_wait_0,best_wait_interior,best_wait_maxed,gain_best_median,T,T_eval
场全关（v16 口径）,10038,0.0,-0.050000000000000024,-0.050000000000000044,-0.04999999999999993,-0.04999999999999982,0.0,1.0,0.0,1.0,0.0,15,26
仅规划准入,10038,0.0,-0.038253375831436794,-0.04999999999999993,-0.007176329466916997,-0.003122971006781272,0.0,1.0,0.0,1.0,0.0,15,26
仅设施价值,10038,0.0,-0.042866760155581975,-0.046080449517883704,-0.031112854724388073,-0.023004401196531243,0.0,1.0,0.0,1.0,0.0,15,26
仅实施条件,10038,0.0,-0.04187005807124297,-0.04135339559314316,-0.036442148099702365,-0.03624285848258524,0.0,1.0,0.0,1.0,0.0,15,26
仅老化必要性,10038,0.0,-0.03973422456618725,-0.038732439382858475,-0.03502384239745791,-0.03485338696347973,0.0,1.0,0.0,1.0,0.0,15,26
v18 主组,10038,0.24955170352659892,-0.013865478085508708,-0.018989028060117374,0.023717932647680372,0.05231203808998908,0.9176130703327356,0.7498505678421996,0.12592149830643554,0.12422793385136481,0.0,15,26
v18 主组×2 幅度,10038,0.5319784817692768,0.029281771256162558,0.004263534692109605,0.1653044386878781,0.24010892814310747,1.9847579199043635,0.4678222753536561,0.2648934050607691,0.2672843195855748,0.004476906782101664,15,26
有限窗 主组幅度,10038,0.16098824467025305,-0.0488630361889665,-0.047757670034453914,0.028010826771264156,0.2922828130290549,0.6079896393703925,0.7887029288702929,0.16009165172345088,0.051205419406256225,0.0,15,26
有限窗 ×2 幅度,10038,0.23341303048416018,-0.020722215003774205,-0.04811579409713185,0.22432621771910263,1.581207443237171,0.8446901773261606,0.7326160589758917,0.17892010360629607,0.08846383741781232,0.0,15,26
有限窗 ×3 幅度,4609,0.25515296159687567,0.3179986883298008,-0.05045738377503495,0.2745832957851152,479.3647996104833,0.5654154914298113,0.7359513994358863,0.24365372098068996,0.020394879583423738,0.0,15,26
场全关（v16 口径）,17208,0.0,-0.050000000000000044,-0.050000000000000044,-0.04999999999999993,-0.04999999999999982,0.0,1.0,0.0,1.0,0.0,25,36
仅规划准入,17208,0.0,-0.04181448025461399,-0.04999999999999993,-0.013909891433317554,-0.0031229709406948025,0.0,1.0,0.0,1.0,0.0,25,36
仅设施价值,17208,0.0,-0.04149334947301824,-0.0469577548865886,-0.023727254944416076,-0.020642098762179262,0.0,1.0,0.0,1.0,0.0,25,36
仅实施条件,17208,0.0,-0.04393314394262013,-0.04486610585548678,-0.03672171643242742,-0.03624285606783584,0.0,1.0,0.0,1.0,0.0,25,36
仅老化必要性,17208,0.0,-0.04188248622558706,-0.041855194258962336,-0.0352271340181655,-0.03485338696347973,0.0,1.0,0.0,1.0,0.0,25,36
v18 主组,17208,0.21524872152487215,-0.020173306544613225,-0.025617203802147714,0.01512022067528105,0.056263532214109624,0.8964435146443515,0.7689446768944677,0.10123198512319852,0.1298233379823338,0.0,25,36
v18 主组×2 幅度,17208,0.44153881915388193,0.014868845425408287,-0.011828818608772884,0.1403985458578527,0.24566540584455843,1.7987563923756393,0.557996280799628,0.16306369130636914,0.2789400278940028,0.0,25,36
有限窗 主组幅度,17208,0.20194095769409576,-0.04029928557045219,-0.04654068880475748,0.02943326698852603,0.3549490120943559,0.8384472338447234,0.7484890748489075,0.16079730357973035,0.09071362157136216,0.0,25,36
有限窗 ×2 幅度,17208,0.2716178521617852,-0.01911882326650977,-0.04750927566496538,0.10300997600299977,1.7104732170557129,1.0496861924686192,0.7055439330543933,0.16265690376569036,0.13179916317991633,0.0,25,36
有限窗 ×3 幅度,6801,0.2723128951624761,0.3161890058944175,-0.048680495735288765,0.17370778655099728,960.7396189514596,0.786796059403029,0.7231289516247611,0.205263931774739,0.07160711660049993,0.0,25,36
