alpha,method,n,价值,相对oracle,相对oracle_std,Where召回,When_MAE,When_1年内
0.0,随机,3,1014.737763960423,0.880270686896544,0.037814348110822175,0.7777777777777778,2.9521367521367523,0.3089133089133089
0.0,纯空间排序,1,1152.75650895289,0.9999999999999996,,1.0,0.1111111111111111,1.0
0.0,时间感知贪心,1,1152.75650895289,0.9999999999999996,,1.0,0.1111111111111111,1.0
0.0,oracle,1,1152.7565089528905,1.0,,1.0,0.0,1.0
0.0,TP-MORL,3,1152.75650895289,0.9999999999999996,0.0,1.0,0.2222222222222222,1.0
0.25,随机,3,846.3416668000197,0.7918261771947099,0.027657762740113306,0.7777777777777778,2.9732600732600734,0.3070818070818071
0.25,纯空间排序,1,967.1411682493515,0.9048446083931974,,1.0,2.6666666666666665,0.2222222222222222
0.25,时间感知贪心,1,1003.6460101347159,0.9389980602827585,,1.0,2.2222222222222223,0.4444444444444444
0.25,oracle,1,1068.8477991450698,1.0,,1.0,0.0,1.0
0.25,TP-MORL,3,1034.05980049957,0.9674528041566579,0.0,0.8888888888888888,1.5,0.625
0.5,随机,3,677.9455696396165,0.6686702519636495,0.016423975997974002,0.7777777777777778,3.021123321123321,0.3070818070818071
0.5,纯空间排序,1,781.5258275458125,0.7708333757516165,,1.0,2.6666666666666665,0.2222222222222222
0.5,时间感知贪心,1,892.5996804066406,0.8803875708155429,,0.8888888888888888,1.25,0.625
0.5,oracle,1,1013.8712880507674,1.0,,1.0,0.0,1.0
0.5,TP-MORL,3,992.974624488398,0.9793892343055255,0.0004596092308986331,0.9629629629629629,0.8425925925925926,0.736111111111111
0.75,随机,3,509.54947247921314,0.5312733464908589,0.010948876694693473,0.7777777777777778,3.021123321123321,0.3070818070818071
0.75,纯空间排序,1,595.9104868422737,0.6213162325795695,,1.0,2.6666666666666665,0.2222222222222222
0.75,时间感知贪心,1,922.2349400952096,0.9615530372179248,,1.0,0.8888888888888888,0.6666666666666666
0.75,oracle,1,959.1097988349401,1.0,,1.0,0.0,1.0
0.75,TP-MORL,3,935.9807580718252,0.9758848874328981,0.0,0.8888888888888888,0.75,0.875
1.0,随机,3,341.1533753188098,0.3770049325093468,0.021339532709753434,0.7962962962962963,2.801709401709402,0.3247863247863248
1.0,纯空间排序,1,410.2951461387347,0.45341276115000717,,0.8888888888888888,2.75,0.25
1.0,时间感知贪心,1,851.7642920379618,0.9412755747574107,,0.8888888888888888,0.75,0.75
1.0,oracle,1,904.9042755172754,1.0,,1.0,0.0,1.0
1.0,TP-MORL,3,878.4488189833713,0.9707643590049552,0.0,1.0,0.6666666666666666,0.8888888888888888
